State,County,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),High school graduate or higher (Population 25 years and over),Bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Illinois,Edgar,"1,376",25.3%,41.1%,31.8%,1.9%,"13,194",3.6%,8.0%,42.0%,21.4%,8.3%,12.1%,4.7%,88.4%,16.8%,"2,046",89.8%,14.0%,"2,263",90.4%,15.2%,"5,474",90.8%,20.1%,"3,411",82.6%,14.2%,24.1%,11.9%,6.9%,5.9%,"28,549","20,533","24,839","30,495","39,458","41,827",66
Illinois,Edwards,493,30.2%,28.0%,28.0%,13.8%,"4,645",3.4%,7.6%,34.4%,24.2%,17.2%,8.4%,4.7%,89.0%,13.1%,693,99.0%,21.4%,861,94.2%,13.0%,"1,893",90.2%,15.0%,"1,198",77.5%,5.5%,16.0%,14.6%,9.1%,0.8%,"28,534","26,250","22,787","31,491","37,330","39,375",71
Illinois,Effingham,"2,970",10.3%,46.1%,36.1%,7.5%,"22,473",5.0%,5.7%,36.7%,20.1%,12.5%,14.6%,5.4%,89.4%,20.0%,"4,008",92.8%,30.4%,"4,232",94.0%,24.1%,"9,129",95.2%,19.2%,"5,104",72.3%,9.8%,17.4%,8.0%,7.8%,2.5%,"30,930","20,565","26,555","30,393","41,960","52,181",76
Illinois,Fayette,"1,974",18.7%,34.3%,44.2%,2.7%,"15,015",7.6%,9.5%,42.4%,18.3%,7.9%,9.0%,5.3%,82.9%,14.3%,"2,807",84.1%,18.8%,"2,892",89.3%,16.5%,"5,806",87.4%,15.7%,"3,510",69.3%,6.6%,26.6%,11.7%,8.7%,8.5%,"28,673","16,385","25,903","29,575","40,847","48,864",79
Illinois,Ford,"1,017",20.0%,34.2%,36.2%,9.6%,"9,688",4.9%,7.8%,41.1%,20.5%,7.9%,14.0%,3.8%,87.3%,17.8%,"1,514",91.3%,24.2%,"1,776",93.9%,23.9%,"3,777",91.3%,15.3%,"2,621",74.7%,13.5%,21.2%,7.0%,7.2%,1.3%,"30,555","15,284","26,376","32,403","38,772","42,500",81
Illinois,Franklin,"3,051",18.8%,36.4%,40.1%,4.7%,"27,381",5.7%,10.5%,33.5%,27.3%,10.6%,8.7%,3.7%,83.8%,12.4%,"4,471",88.7%,12.5%,"4,965",90.7%,14.4%,"10,725",87.5%,14.5%,"7,220",70.4%,7.7%,33.4%,16.3%,11.3%,4.3%,"27,268","11,235","23,027","28,215","40,131","49,491",85
Illinois,Fulton,"2,876",21.1%,34.4%,37.6%,6.9%,"26,452",4.5%,11.9%,38.1%,23.0%,9.2%,9.3%,4.1%,83.6%,13.4%,"4,592",82.4%,14.4%,"4,988",86.3%,15.8%,"10,206",89.0%,15.2%,"6,666",74.2%,8.0%,25.0%,8.9%,7.4%,4.4%,"28,277","13,275","25,362","28,333","43,359","50,509",89
Illinois,Gallatin,413,17.9%,35.6%,40.0%,6.5%,"4,103",7.2%,15.0%,36.5%,24.3%,6.9%,6.5%,3.6%,77.7%,10.1%,619,89.7%,3.9%,699,85.3%,10.9%,"1,629",80.7%,15.6%,"1,156",62.7%,5.2%,31.9%,12.9%,11.1%,5.6%,"25,160","13,068","28,313","22,427","50,139","48,333",92
Illinois,Greene,"1,122",29.6%,24.8%,38.4%,7.2%,"9,606",5.3%,9.5%,43.8%,20.5%,7.5%,8.7%,4.8%,85.2%,13.5%,"1,581",82.9%,13.3%,"1,815",92.3%,13.6%,"3,825",89.2%,15.6%,"2,385",75.0%,10.2%,26.4%,9.5%,10.7%,2.2%,"28,680","15,328","26,705","29,265","40,840","50,466",96
Illinois,Grundy,"3,826",18.9%,30.3%,42.6%,8.2%,"31,660",2.6%,6.7%,35.1%,28.2%,9.1%,12.5%,5.8%,90.7%,18.3%,"6,653",92.5%,22.4%,"7,293",93.9%,20.7%,"12,418",91.9%,17.5%,"5,296",80.9%,11.5%,13.0%,6.4%,4.9%,1.7%,"40,215","25,838","32,264","41,225","48,956","60,603",99
Illinois,Hamilton,614,12.1%,27.0%,59.3%,1.6%,"5,885",10.8%,8.4%,36.6%,21.0%,10.6%,7.1%,5.6%,80.8%,12.7%,868,88.7%,13.9%,"1,046",86.4%,15.5%,"2,323",90.1%,15.2%,"1,648",60.1%,6.8%,21.7%,11.6%,8.9%,2.9%,"25,245","24,866","21,077","26,378","42,957","46,863",106
Illinois,Hancock,"1,354",11.3%,41.9%,39.2%,7.5%,"13,640",3.1%,6.7%,40.4%,23.5%,7.2%,13.1%,5.9%,90.1%,19.1%,"1,977",93.4%,22.8%,"2,303",91.3%,22.5%,"5,611",93.7%,20.1%,"3,749",82.5%,13.5%,18.9%,10.1%,8.7%,6.7%,"28,675","24,016","25,788","27,982","34,335","42,917",111
Illinois,Hardin,243,14.0%,48.6%,33.3%,4.1%,"3,208",9.5%,13.5%,33.8%,23.1%,9.1%,8.4%,2.6%,77.0%,11.0%,623,92.1%,10.4%,476,82.6%,15.1%,"1,154",85.5%,12.4%,955,54.0%,7.6%,24.7%,17.7%,14.6%,4.4%,"27,098","9,896","25,132","30,038","50,987","47,750",113
Illinois,Henderson,492,11.2%,30.5%,51.4%,6.9%,"5,451",3.9%,8.9%,42.1%,21.2%,8.9%,11.0%,3.9%,87.2%,14.9%,694,95.7%,19.2%,869,90.3%,19.8%,"2,392",89.1%,13.0%,"1,496",78.3%,13.1%,27.0%,10.1%,8.9%,4.4%,"30,895","30,714","26,201","32,173","40,568","52,500",117
Illinois,Henry,"3,634",15.4%,35.7%,40.3%,8.6%,"34,588",3.2%,8.9%,35.4%,23.0%,8.9%,13.2%,7.4%,87.9%,20.6%,"5,497",90.3%,23.4%,"6,359",90.6%,25.6%,"14,316",91.2%,22.4%,"8,416",78.6%,11.8%,18.3%,8.8%,5.1%,1.9%,"31,126","20,842","26,375","29,457","40,938","61,671",121
Illinois,Iroquois,"2,131",17.2%,34.7%,41.3%,6.8%,"20,791",5.5%,7.3%,41.7%,24.0%,7.8%,9.4%,4.3%,87.2%,13.7%,"2,991",90.0%,16.2%,"3,790",92.9%,17.4%,"8,420",89.3%,14.5%,"5,590",78.7%,8.5%,15.2%,9.3%,6.6%,1.8%,"31,191","20,450","27,438","31,360","43,131","47,750",125
Illinois,Jackson,"15,508",5.9%,22.0%,63.7%,8.4%,"33,734",4.3%,6.2%,25.4%,21.5%,7.2%,17.2%,18.2%,89.5%,35.4%,"8,226",94.2%,41.7%,"6,207",91.3%,39.8%,"12,636",91.7%,34.2%,"6,665",77.8%,25.7%,31.6%,17.5%,19.0%,12.3%,"27,427","16,145","22,193","24,527","31,078","48,128",129
Illinois,Jasper,750,12.0%,29.2%,54.0%,4.8%,"6,770",5.3%,6.5%,39.5%,22.2%,13.5%,7.5%,5.6%,88.2%,13.0%,"1,073",93.1%,19.3%,"1,182",94.1%,6.5%,"2,867",91.5%,16.6%,"1,648",75.2%,7.3%,20.8%,6.7%,5.3%,1.0%,"28,377","20,556","23,692","28,542","36,227","56,144",133
Illinois,Jefferson,"3,394",22.3%,39.3%,34.8%,3.6%,"26,975",6.0%,10.3%,35.6%,24.1%,9.9%,8.8%,5.3%,83.7%,14.1%,"4,711",84.2%,14.8%,"5,202",85.7%,13.0%,"10,874",87.9%,14.7%,"6,188",74.0%,13.1%,26.3%,13.7%,12.3%,2.5%,"29,550","14,894","26,397","29,150","40,907","55,663",137
Illinois,Jersey,"2,300",15.2%,30.3%,52.8%,1.7%,"15,252",4.5%,8.4%,36.7%,25.1%,9.3%,8.9%,7.2%,87.1%,16.0%,"2,549",92.3%,19.9%,"2,982",93.2%,17.5%,"6,231",92.3%,17.3%,"3,490",68.8%,9.7%,18.4%,6.8%,7.0%,2.0%,"34,596","25,714","30,465","34,469","49,348","51,750",142
Illinois,Jo Daviess,"1,459",6.9%,42.2%,42.8%,8.2%,"16,575",3.8%,7.1%,39.3%,19.6%,7.2%,14.5%,8.5%,89.1%,23.0%,"2,117",93.5%,27.7%,"2,605",96.0%,26.4%,"7,110",91.3%,24.2%,"4,743",79.9%,17.4%,11.2%,8.2%,5.5%,3.7%,"28,629","18,670","25,189","30,319","34,202","42,125",145
Illinois,Johnson,"1,263",57.5%,21.8%,19.5%,1.3%,"8,982",5.9%,16.1%,32.3%,24.6%,8.3%,9.4%,3.4%,78.0%,12.8%,"1,890",67.5%,5.5%,"1,675",84.3%,14.7%,"3,339",85.7%,18.4%,"2,078",70.1%,9.2%,25.2%,9.5%,9.6%,1.2%,"28,969","25,972","21,037","25,865","45,350","54,583",152
Illinois,Kane,"42,342",21.5%,33.4%,36.9%,8.2%,"313,028",8.6%,8.2%,24.7%,19.6%,7.0%,20.9%,10.9%,83.2%,31.8%,"67,317",79.3%,30.2%,"77,716",83.2%,36.5%,"122,185",86.5%,33.4%,"45,810",79.7%,21.7%,17.7%,7.7%,5.0%,1.7%,"38,948","21,612","31,273","39,538","55,060","70,732",156
Illinois,Kankakee,"11,339",15.8%,33.7%,44.4%,6.0%,"71,890",5.5%,9.2%,35.0%,23.9%,8.9%,10.8%,6.6%,85.2%,17.4%,"13,803",88.5%,21.8%,"14,663",89.6%,19.7%,"28,710",87.2%,17.7%,"14,714",74.0%,10.7%,27.2%,12.3%,8.9%,3.9%,"32,466","17,447","26,389","35,591","44,570","53,404",161
Illinois,Kendall,"7,367",16.8%,28.7%,44.3%,10.1%,"65,160",3.3%,4.7%,26.5%,24.5%,8.7%,22.1%,10.2%,92.0%,32.3%,"16,496",93.2%,40.9%,"18,514",94.3%,38.7%,"22,676",91.6%,25.3%,"7,474",85.2%,18.5%,10.0%,4.0%,3.3%,0.6%,"45,741","30,251","36,575","42,398","56,215","65,286",165
Illinois,Knox,"5,379",17.1%,29.5%,50.9%,2.5%,"36,542",4.1%,10.7%,38.3%,22.1%,9.7%,10.1%,5.1%,85.2%,15.2%,"6,025",83.0%,13.2%,"6,371",90.0%,17.7%,"14,556",89.6%,17.9%,"9,590",76.9%,10.7%,30.0%,11.0%,9.2%,3.0%,"26,265","11,680","22,588","27,912","40,910","46,289",166
Illinois,Lake,"62,309",15.2%,36.3%,38.0%,10.4%,"440,297",5.8%,5.7%,21.3%,19.9%,6.0%,24.8%,16.5%,88.5%,41.3%,"80,992",85.1%,36.1%,"105,175",89.4%,45.7%,"185,182",91.4%,45.2%,"68,948",83.5%,30.3%,15.5%,7.8%,4.7%,2.1%,"44,712","21,233","32,213","40,759","61,158","82,464",170
Illinois,LaSalle,"9,805",17.6%,40.2%,35.8%,6.3%,"77,228",4.0%,8.2%,38.6%,24.3%,9.1%,10.6%,5.2%,87.8%,15.8%,"12,943",91.8%,19.6%,"14,506",92.6%,19.2%,"31,347",91.1%,17.2%,"18,432",75.8%,8.2%,18.4%,8.4%,8.1%,2.2%,"32,262","20,521","28,490","32,221","42,083","57,422",175
Illinois,Lawrence,"1,731",30.6%,39.6%,27.2%,2.7%,"11,830",4.4%,14.5%,37.6%,18.3%,14.0%,8.2%,2.9%,81.1%,11.1%,"2,442",75.5%,11.8%,"2,329",76.3%,10.2%,"4,279",87.8%,12.2%,"2,780",79.8%,9.8%,23.4%,16.7%,9.5%,2.7%,"26,455","11,538","22,071","30,551","41,803","57,361",177
Illinois,Lee,"3,294",15.4%,41.3%,38.5%,4.8%,"24,808",5.1%,9.2%,36.4%,24.7%,9.7%,10.6%,4.4%,85.7%,15.0%,"3,993",89.2%,14.2%,"5,012",89.1%,13.6%,"10,239",88.9%,19.5%,"5,564",74.5%,8.6%,22.4%,7.1%,6.4%,2.9%,"31,209","16,681","29,274","31,218","45,448","56,250",180
Illinois,Livingston,"3,221",17.3%,41.0%,32.9%,8.8%,"26,987",4.5%,11.4%,42.3%,21.2%,7.2%,9.3%,4.2%,84.1%,13.5%,"4,832",82.1%,14.7%,"5,212",86.3%,14.3%,"10,911",89.0%,15.2%,"6,032",74.9%,8.9%,19.8%,9.0%,6.6%,3.1%,"32,219","15,772","28,538","35,101","41,786","52,731",182
Illinois,Logan,"3,350",13.8%,55.4%,26.7%,4.0%,"20,925",3.9%,10.6%,40.0%,21.9%,6.4%,12.3%,4.8%,85.4%,17.0%,"4,194",83.7%,17.3%,"4,056",84.5%,16.7%,"7,985",91.0%,19.9%,"4,690",78.1%,12.3%,23.3%,7.2%,4.1%,2.2%,"32,199","13,594","27,061","35,296","42,262","47,417",186
Illinois,McDonough,"9,588",3.2%,23.6%,67.0%,6.3%,"17,975",3.1%,5.8%,30.9%,21.2%,6.5%,18.0%,14.6%,91.2%,32.6%,"3,167",92.3%,42.8%,"3,167",94.3%,35.6%,"7,071",93.9%,34.9%,"4,570",84.0%,19.7%,30.5%,15.2%,13.8%,10.4%,"27,231","20,208","20,683","23,857","34,383","49,300",189
Illinois,McHenry,"23,164",14.7%,36.2%,38.5%,10.6%,"197,494",3.3%,5.0%,27.7%,24.3%,7.7%,21.9%,10.2%,91.7%,32.1%,"34,871",90.7%,35.4%,"50,218",93.8%,37.1%,"82,943",93.8%,31.6%,"29,462",83.5%,21.3%,12.0%,6.9%,4.4%,2.1%,"42,987","23,344","34,006","41,671","56,508","66,536",192
Illinois,McLean,"29,435",6.1%,21.0%,61.7%,11.2%,"99,291",2.2%,4.4%,26.9%,19.9%,6.2%,27.8%,12.6%,93.4%,40.4%,"22,900",95.6%,48.8%,"21,233",95.1%,46.4%,"38,114",95.6%,39.4%,"17,044",83.6%,23.8%,21.0%,8.1%,7.8%,3.1%,"40,085","18,203","28,776","34,401","50,939","58,412",193
Illinois,Macon,"10,290",20.8%,29.5%,40.8%,8.9%,"74,973",3.7%,9.3%,36.0%,23.7%,6.6%,13.4%,7.1%,86.9%,20.5%,"12,895",88.2%,22.8%,"13,181",91.4%,22.0%,"31,031",90.3%,22.4%,"17,866",76.9%,14.7%,30.1%,10.8%,9.1%,1.9%,"32,220","16,592","25,634","32,100","49,157","65,375",194
Illinois,Macoupin,"4,058",12.8%,36.1%,47.6%,3.4%,"32,900",4.4%,8.8%,39.2%,24.6%,8.1%,9.6%,5.5%,86.8%,15.0%,"5,322",90.7%,18.3%,"6,065",92.3%,16.3%,"13,386",92.5%,16.5%,"8,127",70.9%,9.6%,19.9%,8.5%,9.1%,3.2%,"31,332","16,724","27,523","33,678","36,161","55,336",196
Illinois,Madison,"27,385",12.3%,26.2%,51.7%,9.7%,"178,583",3.7%,6.9%,34.0%,24.4%,8.1%,14.9%,8.1%,89.4%,23.0%,"33,626",93.0%,29.5%,"35,634",93.6%,28.8%,"71,722",92.2%,22.0%,"37,601",77.1%,13.5%,22.3%,9.1%,9.0%,3.6%,"36,071","20,350","29,353","34,978","50,081","60,115",199
Illinois,Marion,"3,216",17.3%,35.6%,42.5%,4.6%,"26,967",6.5%,9.5%,36.3%,23.5%,10.7%,9.1%,4.5%,84.1%,13.6%,"4,428",89.4%,20.2%,"4,813",91.4%,12.8%,"10,865",86.4%,13.4%,"6,861",71.8%,10.2%,28.5%,13.8%,8.0%,4.5%,"26,881","15,825","22,402","28,390","37,629","43,979",201
Illinois,Marshall,871,16.3%,39.2%,39.0%,5.5%,"9,039",3.7%,6.1%,42.4%,21.9%,8.8%,13.6%,3.6%,90.2%,17.1%,"1,311",90.2%,19.7%,"1,560",94.7%,17.6%,"3,711",94.1%,18.7%,"2,457",81.6%,13.1%,19.2%,8.5%,6.3%,7.6%,"29,717","15,469","26,576","30,000","42,347","47,955",202
Illinois,Mason,"1,058",19.4%,36.0%,35.0%,9.6%,"10,468",5.0%,11.7%,38.4%,20.8%,7.6%,10.3%,6.2%,83.3%,16.5%,"1,496",89.7%,19.9%,"1,940",89.7%,21.4%,"4,286",84.0%,15.7%,"2,746",74.3%,12.3%,20.7%,13.1%,7.1%,3.2%,"30,530","15,645","25,252","31,358","40,958","55,655",206
Illinois,Massac,"1,059",15.8%,39.4%,38.9%,5.9%,"10,816",5.5%,9.6%,35.4%,24.5%,10.9%,10.8%,3.3%,85.0%,14.1%,"1,728",91.1%,15.6%,"2,015",92.4%,14.9%,"4,265",87.3%,14.6%,"2,808",72.3%,12.0%,23.3%,10.4%,9.9%,3.9%,"27,865","16,069","22,600","31,399","38,815","53,611",208
Illinois,Menard,910,9.7%,40.0%,46.3%,4.1%,"8,794",4.1%,5.6%,38.1%,20.1%,8.0%,16.1%,8.0%,90.3%,24.2%,"1,255",94.5%,20.0%,"1,758",94.0%,35.8%,"3,850",94.3%,24.8%,"1,931",76.2%,15.1%,23.0%,8.1%,3.0%,0.8%,"33,611","14,271","29,635","38,547","40,115","60,739",212
Illinois,Mercer,"1,172",10.3%,36.9%,47.5%,5.3%,"11,582",2.8%,8.5%,40.8%,23.1%,10.3%,10.1%,4.4%,88.7%,14.5%,"1,655",88.5%,21.6%,"2,135",92.4%,16.7%,"4,925",94.0%,14.7%,"2,867",77.0%,8.4%,14.4%,6.0%,7.7%,3.1%,"32,306","20,729","31,034","31,805","41,892","48,750",216
Illinois,Monroe,"2,312",16.0%,23.8%,47.0%,13.3%,"22,066",3.9%,5.1%,32.2%,24.0%,10.2%,16.3%,8.4%,91.0%,24.7%,"3,603",93.8%,33.9%,"4,731",99.1%,30.8%,"9,246",95.2%,24.8%,"4,486",71.6%,10.7%,12.3%,3.2%,3.2%,2.8%,"42,074","23,457","36,470","40,564","58,144","63,542",219
Illinois,Montgomery,"2,553",19.3%,40.6%,36.5%,3.6%,"21,330",5.7%,10.8%,42.1%,20.8%,7.2%,9.2%,4.1%,83.5%,13.3%,"3,645",87.0%,14.5%,"4,169",86.3%,15.6%,"8,332",89.0%,14.6%,"5,184",69.9%,8.5%,21.9%,10.3%,9.9%,2.0%,"28,191","15,954","25,307","29,548","42,227","55,417",223
Illinois,Morgan,"3,753",19.2%,23.0%,47.5%,10.3%,"24,264",4.3%,9.3%,38.8%,20.8%,6.7%,12.4%,7.8%,86.5%,20.2%,"4,178",89.4%,26.7%,"4,337",90.8%,19.5%,"9,864",88.5%,20.5%,"5,885",77.7%,15.6%,31.8%,12.6%,7.9%,2.4%,"30,394","13,702","25,227","30,535","40,302","53,533",225
Illinois,Moultrie,"1,091",28.2%,37.7%,32.0%,2.1%,"9,953",10.0%,6.2%,41.6%,18.8%,9.6%,9.1%,4.7%,83.8%,13.8%,"1,648",77.7%,19.1%,"1,762",86.4%,15.7%,"3,913",88.7%,14.3%,"2,630",78.7%,8.5%,24.9%,6.9%,5.6%,3.8%,"31,025","22,063","29,316","32,630","34,398","42,697",227
Illinois,Ogle,"4,101",15.3%,34.7%,46.1%,4.0%,"35,808",4.3%,8.3%,37.3%,23.6%,8.7%,11.6%,6.2%,87.4%,17.8%,"5,422",91.6%,22.1%,"7,540",88.8%,19.4%,"15,003",89.6%,18.4%,"7,843",78.9%,12.4%,16.6%,7.5%,4.7%,1.7%,"33,752","22,195","30,045","32,921","44,828","54,728",229
Illinois,Peoria,"19,109",15.1%,27.7%,46.4%,10.8%,"121,123",3.7%,7.6%,29.5%,22.4%,8.7%,17.8%,10.3%,88.7%,28.1%,"24,688",91.4%,35.7%,"23,270",92.1%,31.6%,"47,705",90.5%,26.8%,"25,460",79.5%,19.8%,27.2%,13.4%,7.2%,3.2%,"34,216","19,847","25,883","31,747","48,182","64,641",233
Illinois,Perry,"2,476",33.7%,25.4%,37.4%,3.5%,"15,484",6.1%,12.4%,36.3%,21.8%,10.0%,9.1%,4.4%,81.5%,13.5%,"2,966",79.8%,13.4%,"3,124",83.0%,12.5%,"5,873",88.1%,16.5%,"3,521",70.8%,9.3%,21.0%,10.9%,10.2%,2.9%,"27,328","16,852","26,151","27,137","39,179","43,071",235
Illinois,Piatt,"1,088",14.2%,37.7%,40.3%,7.8%,"11,600",3.5%,6.7%,36.1%,21.0%,9.7%,15.5%,7.4%,89.8%,22.9%,"1,745",91.0%,25.0%,"2,153",93.6%,30.1%,"5,013",94.4%,24.1%,"2,689",77.5%,13.8%,12.5%,7.7%,6.6%,1.2%,"33,532","14,955","26,858","32,534","46,680","55,217",238
Illinois,Pike,"1,247",18.2%,41.5%,36.2%,4.2%,"11,495",3.1%,10.9%,45.5%,19.3%,8.5%,9.0%,3.7%,86.0%,12.7%,"1,787",84.8%,9.1%,"2,057",91.8%,17.2%,"4,512",87.6%,14.1%,"3,139",80.6%,9.7%,24.5%,11.1%,10.3%,0.4%,"26,186","20,496","25,889","24,531","33,925","37,557",241
Illinois,Pope,420,30.5%,36.2%,33.3%,0.0%,"3,092",8.1%,6.9%,35.5%,29.9%,11.4%,4.6%,3.7%,85.1%,8.3%,232,96.6%,12.5%,524,87.2%,2.9%,"1,522",86.9%,10.7%,814,77.1%,6.0%,29.9%,8.0%,2.8%,0.0%,"27,161","13,167","26,250","30,357","33,438","48,696",245
Illinois,Pulaski,586,24.7%,37.0%,32.9%,5.3%,"4,176",9.6%,11.6%,35.5%,21.4%,10.1%,7.3%,4.6%,78.9%,11.9%,576,85.4%,10.2%,736,86.5%,18.9%,"1,775",82.8%,14.3%,"1,089",63.8%,4.0%,32.8%,19.3%,12.8%,6.5%,"25,363","13,800","24,211","24,052","36,875","55,700",248
Illinois,Putnam,429,18.4%,40.6%,36.4%,4.7%,"4,243",2.3%,9.0%,36.8%,24.8%,12.0%,9.9%,5.1%,88.7%,15.0%,602,86.0%,15.9%,709,95.6%,5.8%,"1,916",93.7%,20.2%,"1,016",75.9%,11.1%,20.8%,4.4%,5.0%,5.8%,"32,767","10,208","29,055","35,301","45,486","43,750",253
Illinois,Randolph,"2,739",29.1%,30.1%,36.3%,4.5%,"23,942",7.7%,13.9%,38.9%,20.5%,7.0%,8.5%,3.5%,78.5%,12.0%,"4,642",75.2%,14.5%,"4,756",80.8%,12.2%,"9,330",86.0%,12.4%,"5,214",65.7%,9.0%,22.3%,8.9%,5.5%,3.3%,"30,316","21,076","27,155","30,988","38,571","59,493",255
Illinois,Richland,"1,335",11.8%,30.8%,54.2%,3.2%,"11,231",4.6%,6.4%,36.8%,20.2%,14.0%,12.5%,5.6%,89.1%,18.1%,"1,773",90.0%,26.8%,"2,038",96.3%,20.8%,"4,361",93.6%,18.3%,"3,059",77.3%,11.0%,16.2%,16.4%,9.1%,5.4%,"30,068","26,875","22,155","29,637","40,565","40,000",259
Illinois,Rock Island,"13,953",17.1%,34.2%,42.1%,6.6%,"100,302",4.4%,8.9%,33.2%,23.8%,8.7%,13.9%,7.2%,86.7%,21.1%,"18,270",89.5%,24.3%,"17,994",88.3%,24.5%,"40,578",89.9%,22.0%,"23,460",77.9%,14.3%,22.0%,8.6%,8.5%,3.3%,"30,695","20,052","24,769","30,065","42,256","61,269",265
Illinois,St. Clair,"24,712",17.4%,31.6%,42.5%,8.5%,"173,279",4.0%,8.6%,29.0%,25.0%,9.6%,15.1%,8.8%,87.4%,23.9%,"34,203",90.1%,26.6%,"36,335",92.4%,27.2%,"69,497",91.1%,25.3%,"33,244",71.7%,14.5%,31.7%,12.5%,8.6%,2.8%,"34,507","17,137","26,058","33,353","48,642","65,259",269
Illinois,Saline,"2,080",22.5%,31.6%,39.7%,6.2%,"17,270",7.6%,10.3%,30.0%,27.6%,10.2%,9.5%,4.8%,82.1%,14.3%,"2,602",90.1%,17.5%,"3,151",87.8%,21.1%,"6,886",86.5%,14.4%,"4,631",67.3%,7.9%,27.8%,13.8%,13.0%,3.5%,"28,990","17,547","26,498","27,651","41,108","52,041",271
Illinois,Sangamon,"16,415",16.4%,29.7%,41.5%,12.3%,"132,183",2.9%,6.2%,29.4%,22.4%,8.1%,19.6%,11.5%,91.0%,31.0%,"24,737",92.5%,36.0%,"26,092",94.5%,36.8%,"54,664",92.0%,31.6%,"26,690",84.0%,19.6%,31.4%,12.1%,8.5%,3.4%,"35,610","15,125","26,081","33,677","46,371","59,819",274
Illinois,Schuyler,489,19.4%,32.3%,47.4%,0.8%,"5,263",4.8%,6.1%,42.1%,23.6%,5.8%,12.0%,5.6%,89.2%,17.7%,785,92.9%,15.7%,"1,004",91.2%,16.8%,"2,115",93.9%,20.3%,"1,359",78.1%,15.3%,25.8%,13.0%,8.8%,6.7%,"29,353","29,500","24,680","29,625","36,534","42,375",278
Illinois,Scott,373,12.3%,31.4%,40.5%,15.8%,"3,704",5.2%,6.5%,44.0%,20.0%,6.3%,14.7%,3.3%,88.3%,18.0%,565,94.5%,30.6%,688,95.6%,23.5%,"1,508",91.0%,15.1%,943,75.0%,11.1%,24.5%,7.9%,5.0%,3.3%,"31,797","23,750","28,638","36,179","37,500","37,841",280
Illinois,Shelby,"1,652",14.6%,36.6%,42.4%,6.4%,"15,567",4.5%,7.8%,41.4%,21.4%,10.2%,10.1%,4.6%,87.7%,14.7%,"2,235",91.7%,16.2%,"2,751",95.0%,19.0%,"6,369",90.2%,16.5%,"4,212",76.8%,8.6%,22.3%,8.5%,8.4%,4.7%,"30,649","19,821","26,703","32,694","35,208","45,327",283
Illinois,Stark,405,13.8%,41.2%,31.4%,13.6%,"4,167",3.4%,8.6%,39.3%,24.1%,9.4%,11.4%,3.8%,88.0%,15.2%,599,90.2%,16.0%,747,91.6%,22.8%,"1,656",91.2%,17.0%,"1,165",80.2%,7.3%,13.5%,8.2%,9.1%,2.4%,"30,765","24,063","26,811","30,028","41,324","50,278",285
Illinois,Stephenson,"3,476",25.5%,30.9%,39.4%,4.2%,"33,339",3.4%,8.1%,36.3%,25.8%,9.2%,10.9%,6.2%,88.5%,17.2%,"4,953",91.2%,16.5%,"6,159",92.7%,19.2%,"13,452",92.6%,18.5%,"8,775",77.7%,14.1%,23.9%,11.4%,10.0%,2.7%,"27,876","15,245","24,623","27,354","38,919","50,833",290
Illinois,Tazewell,"10,136",15.5%,36.0%,42.1%,6.4%,"91,972",3.0%,6.8%,32.9%,24.5%,9.7%,16.9%,6.2%,90.2%,23.1%,"17,036",93.8%,32.9%,"17,726",95.0%,28.6%,"36,623",93.3%,21.6%,"20,587",77.7%,13.1%,16.1%,6.5%,5.3%,2.0%,"35,475","22,412","28,356","33,415","46,973","59,353",291
Illinois,Union,"1,408",20.2%,42.7%,34.9%,2.3%,"12,604",12.4%,8.5%,31.2%,21.1%,8.9%,11.9%,5.9%,79.1%,17.8%,"1,920",80.8%,18.6%,"2,311",79.3%,19.9%,"5,189",82.9%,19.9%,"3,184",71.6%,12.2%,53.8%,21.3%,9.7%,2.8%,"30,542","17,288","22,599","31,326","39,063","41,467",293
Illinois,Vermilion,"7,512",24.1%,35.4%,34.5%,5.9%,"54,287",4.6%,10.5%,40.3%,22.0%,8.8%,9.2%,4.5%,84.9%,13.7%,"9,439",86.3%,13.3%,"9,711",89.7%,12.7%,"22,022",87.5%,16.5%,"13,115",75.9%,10.2%,28.5%,12.3%,10.4%,4.3%,"29,580","19,323","26,490","30,705","41,159","48,530",296
