County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units,FID
New York,Dutchess,34.8%,33.7%,67.7%,28.1%,4.2%,1711
New York,Erie,29.3%,35.6%,63.6%,35.0%,1.4%,1723
New York,Essex,27.7%,39.4%,75.4%,17.6%,7.1%,1728
New York,Franklin,31.7%,35.4%,70.2%,18.9%,10.9%,1731
New York,Fulton,33.0%,35.7%,63.2%,25.5%,11.3%,1734
New York,Genesee,32.2%,35.2%,73.2%,20.9%,5.9%,1736
New York,Greene,27.2%,41.1%,71.6%,19.5%,8.9%,1739
New York,Hamilton,21.3%,48.8%,84.0%,9.7%,6.3%,1742
New York,Herkimer,31.1%,38.1%,67.3%,22.5%,10.1%,1745
New York,Jefferson,37.3%,28.1%,56.7%,33.6%,9.7%,1782
New York,Kings,34.7%,32.3%,14.9%,85.0%,0.1%,1788
New York,Lewis,33.9%,34.5%,74.6%,13.0%,12.4%,1790
New York,Livingston,30.7%,33.4%,74.1%,16.1%,9.8%,1791
New York,Madison,32.6%,34.9%,74.2%,15.6%,10.2%,1796
New York,Monroe,31.7%,32.9%,71.3%,28.0%,0.7%,1804
New York,Montgomery,29.9%,38.4%,61.5%,31.2%,7.3%,1807
New York,Nassau,37.7%,41.0%,80.0%,19.9%,0.2%,1839
New York,New York,19.1%,29.5%,1.4%,98.4%,0.2%,1847
New York,Niagara,29.1%,36.4%,71.2%,24.5%,4.3%,1850
New York,Oneida,30.8%,37.5%,64.4%,29.7%,6.0%,1852
New York,Onondaga,31.4%,32.9%,68.3%,30.5%,1.1%,1853
New York,Ontario,31.5%,35.4%,72.0%,19.6%,8.4%,1856
New York,Orange,40.4%,31.4%,70.5%,27.0%,2.5%,1859
New York,Orleans,32.5%,37.3%,72.8%,15.4%,11.7%,1862
New York,Oswego,32.6%,32.5%,67.9%,16.9%,15.2%,1864
New York,Otsego,27.2%,37.6%,67.0%,18.7%,14.3%,1868
New York,Putnam,38.7%,32.9%,84.4%,14.7%,1.0%,1870
New York,Queens,33.8%,35.4%,28.9%,71.0%,0.2%,1872
New York,Rensselaer,29.9%,32.4%,61.9%,34.4%,3.7%,1874
New York,Richmond,38.4%,34.8%,60.9%,38.8%,0.4%,1876
New York,Rockland,41.1%,37.2%,68.1%,30.6%,1.3%,1879
New York,St. Lawrence,32.2%,34.6%,70.0%,18.5%,11.5%,1883
New York,Saratoga,32.0%,32.2%,67.9%,22.9%,9.2%,1885
New York,Schenectady,28.8%,35.7%,67.4%,31.8%,0.8%,1887
New York,Schoharie,30.9%,41.0%,71.8%,16.1%,12.1%,1888
New York,Schuyler,30.2%,37.4%,69.9%,9.2%,20.9%,1889
New York,Seneca,31.5%,38.1%,72.6%,13.8%,13.5%,1890
New York,Steuben,31.9%,36.1%,69.8%,17.5%,12.6%,1891
New York,Suffolk,39.3%,36.6%,85.0%,14.1%,0.9%,1924
New York,Sullivan,32.5%,37.2%,68.0%,20.2%,11.8%,1928
New York,Tioga,33.0%,35.9%,72.9%,11.9%,15.2%,1930
New York,Tompkins,23.7%,27.3%,52.9%,37.9%,9.2%,1933
New York,Ulster,29.9%,36.1%,71.6%,22.4%,6.0%,1935
New York,Warren,27.9%,36.8%,68.7%,24.8%,6.5%,1938
New York,Washington,30.9%,36.0%,75.9%,18.0%,6.1%,1942
New York,Wayne,35.1%,33.7%,74.0%,17.7%,8.3%,1952
New York,Westchester,35.7%,36.1%,51.3%,48.5%,0.1%,1960
New York,Wyoming,32.1%,34.0%,77.9%,15.8%,6.3%,1962
New York,Yates,33.3%,38.6%,76.1%,13.5%,10.5%,1965
North Carolina,Alamance,33.7%,33.0%,70.0%,15.9%,14.1%,1967
North Carolina,Alexander,29.0%,36.4%,68.9%,1.8%,29.4%,1968
North Carolina,Alleghany,24.2%,44.0%,75.7%,8.4%,15.9%,1970
North Carolina,Anson,30.4%,40.3%,70.9%,4.7%,24.4%,1972
North Carolina,Ashe,27.5%,40.0%,69.3%,5.4%,25.3%,1975
North Carolina,Avery,26.5%,39.9%,74.6%,8.5%,16.9%,1977
North Carolina,Beaufort,31.1%,40.4%,63.5%,10.0%,26.5%,1981
North Carolina,Bertie,30.1%,40.8%,64.9%,2.3%,32.7%,1983
North Carolina,Bladen,29.3%,39.5%,62.2%,6.0%,31.8%,1986
North Carolina,Brunswick,25.3%,44.6%,69.4%,5.5%,25.1%,1995
North Carolina,Buncombe,28.2%,35.9%,67.1%,16.4%,16.4%,1422
North Carolina,Burke,31.5%,38.2%,67.9%,8.8%,23.4%,1424
North Carolina,Cabarrus,37.2%,28.9%,79.3%,12.1%,8.6%,1426
North Carolina,Caldwell,30.1%,36.1%,74.8%,6.9%,18.4%,1429
North Carolina,Camden,41.6%,33.8%,84.4%,1.5%,14.1%,1433
North Carolina,Carteret,23.9%,40.6%,69.7%,11.9%,18.4%,1447
North Carolina,Caswell,32.0%,38.4%,66.9%,3.9%,29.2%,1449
North Carolina,Catawba,33.1%,33.8%,71.7%,15.2%,13.1%,1450
North Carolina,Chatham,30.2%,40.6%,78.1%,6.6%,15.3%,1451
North Carolina,Cherokee,26.0%,46.3%,72.3%,4.6%,23.0%,1452
North Carolina,Chowan,28.9%,46.5%,68.1%,11.2%,20.7%,1455
North Carolina,Clay,22.8%,48.5%,69.7%,5.2%,25.1%,1457
North Carolina,Cleveland,32.5%,36.7%,70.0%,9.9%,20.1%,1458
North Carolina,Columbus,34.2%,38.8%,65.7%,5.7%,28.5%,1459
North Carolina,Craven,34.5%,34.8%,70.0%,14.7%,15.3%,1462
North Carolina,Cumberland,39.8%,24.9%,70.7%,18.5%,10.8%,1464
North Carolina,Currituck,31.9%,34.6%,77.5%,1.1%,21.4%,1481
North Carolina,Dare,27.9%,33.0%,85.1%,7.5%,7.4%,1485
North Carolina,Davidson,34.0%,34.1%,75.4%,9.3%,15.2%,1489
North Carolina,Davie,34.2%,37.8%,78.9%,3.3%,17.8%,1490
North Carolina,Duplin,33.2%,36.8%,60.3%,6.2%,33.6%,1492
North Carolina,Durham,32.0%,24.0%,65.2%,33.4%,1.4%,1494
North Carolina,Edgecombe,32.8%,38.5%,66.8%,13.3%,19.9%,1495
North Carolina,Forsyth,32.9%,30.9%,72.8%,22.9%,4.4%,1496
North Carolina,Franklin,35.8%,32.7%,70.5%,3.2%,26.3%,1498
North Carolina,Gaston,34.6%,33.5%,78.2%,11.9%,9.9%,1499
North Carolina,Gates,36.3%,39.5%,68.7%,0.0%,31.3%,1500
North Carolina,Graham,29.3%,45.1%,61.2%,7.0%,31.8%,1502
North Carolina,Granville,35.5%,31.1%,65.9%,8.8%,25.3%,1503
North Carolina,Greene,37.6%,39.3%,65.1%,3.8%,31.0%,1505
North Carolina,Guilford,32.5%,29.2%,71.7%,24.8%,3.6%,1506
North Carolina,Halifax,32.7%,39.9%,68.7%,9.1%,22.1%,1508
North Carolina,Harnett,39.0%,28.2%,69.0%,7.6%,23.4%,1509
North Carolina,Haywood,26.6%,42.5%,73.7%,5.4%,20.9%,1512
North Carolina,Henderson,28.3%,43.9%,74.8%,8.8%,16.4%,1514
North Carolina,Hertford,31.4%,39.7%,71.1%,10.2%,18.7%,1515
North Carolina,Hoke,42.8%,23.3%,70.7%,5.6%,23.7%,1517
North Carolina,Hyde,33.0%,43.9%,77.7%,4.3%,18.0%,1521
North Carolina,Iredell,35.5%,33.0%,77.8%,9.4%,12.8%,1525
North Carolina,Jackson,21.2%,33.5%,65.4%,10.0%,24.5%,1528
North Carolina,Johnston,40.7%,27.8%,75.4%,6.2%,18.5%,1530
North Carolina,Jones,30.7%,40.9%,69.7%,3.1%,27.3%,1536
North Carolina,Lee,36.0%,34.6%,68.8%,13.9%,17.3%,1540
North Carolina,Lenoir,31.5%,37.7%,62.7%,14.4%,22.9%,1542
North Carolina,Lincoln,35.4%,32.5%,72.3%,7.7%,20.0%,1545
North Carolina,McDowell,29.3%,38.3%,65.9%,7.0%,27.1%,1554
North Carolina,Macon,27.0%,45.3%,71.2%,7.1%,21.7%,1556
North Carolina,Madison,27.5%,44.5%,69.6%,6.2%,24.1%,1560
North Carolina,Martin,29.8%,38.2%,70.7%,7.2%,22.1%,1563
North Carolina,Mecklenburg,34.8%,22.5%,69.9%,28.2%,1.9%,1565
North Carolina,Mitchell,23.9%,43.0%,66.9%,8.5%,24.5%,1568
North Carolina,Montgomery,30.2%,39.7%,65.7%,5.6%,28.7%,1573
North Carolina,Moore,27.3%,47.4%,78.5%,9.2%,12.3%,1584
North Carolina,Nash,33.3%,33.7%,66.7%,14.0%,19.2%,1588
North Carolina,New Hanover,26.7%,31.1%,72.4%,23.6%,4.0%,1602
North Carolina,Northampton,26.7%,46.1%,75.4%,3.8%,20.8%,1606
North Carolina,Onslow,41.1%,21.6%,69.3%,10.9%,19.8%,1625
North Carolina,Orange,30.9%,25.2%,63.8%,28.5%,7.7%,1630
North Carolina,Pamlico,28.2%,47.3%,68.4%,2.3%,29.3%,1703
North Carolina,Pasquotank,35.9%,34.0%,70.4%,13.5%,16.1%,1714
North Carolina,Pender,33.9%,36.7%,65.6%,3.6%,30.8%,1718
North Carolina,Perquimans,25.9%,44.5%,72.3%,4.3%,23.4%,1724
North Carolina,Person,32.2%,35.9%,70.4%,5.3%,24.3%,1729
North Carolina,Pitt,31.0%,25.0%,52.9%,33.4%,13.7%,1733
North Carolina,Polk,24.8%,44.8%,74.1%,10.6%,15.3%,1738
North Carolina,Randolph,35.7%,34.6%,69.4%,9.0%,21.6%,1741
North Carolina,Richmond,33.1%,38.7%,69.0%,8.1%,22.9%,1744
North Carolina,Robeson,38.5%,33.4%,53.8%,8.5%,37.8%,1747
North Carolina,Rockingham,32.8%,37.5%,73.5%,8.8%,17.7%,1751
North Carolina,Rowan,34.7%,34.3%,70.8%,10.4%,18.8%,1754
North Carolina,Rutherford,30.5%,39.0%,72.2%,6.6%,21.1%,1764
North Carolina,Sampson,36.0%,36.2%,59.4%,5.7%,34.9%,1769
North Carolina,Scotland,38.2%,36.8%,60.0%,12.2%,27.9%,1772
North Carolina,Stanly,32.7%,38.0%,78.4%,6.3%,15.3%,1775
North Carolina,Stokes,32.2%,36.7%,69.2%,4.0%,26.8%,1777
North Carolina,Surry,30.6%,37.9%,68.5%,7.8%,23.7%,1780
North Carolina,Swain,29.6%,37.2%,66.4%,8.7%,24.9%,1784
North Carolina,Transylvania,20.7%,49.5%,79.4%,3.6%,16.9%,1786
North Carolina,Tyrrell,29.5%,40.4%,69.5%,10.6%,19.8%,1794
North Carolina,Union,45.4%,26.7%,87.0%,5.9%,7.1%,1798
North Carolina,Vance,33.1%,36.7%,62.2%,10.5%,27.2%,1801
North Carolina,Wake,37.3%,22.2%,71.8%,24.6%,3.6%,1805
North Carolina,Warren,25.4%,46.9%,64.1%,4.4%,31.5%,1809
North Carolina,Washington,30.5%,46.1%,71.8%,8.7%,19.6%,1811
North Carolina,Watauga,21.4%,26.5%,60.1%,31.1%,8.8%,1813
North Carolina,Wayne,36.3%,31.9%,63.3%,11.8%,24.9%,1814
North Carolina,Wilkes,30.6%,38.0%,67.0%,6.1%,27.0%,1817
North Carolina,Wilson,33.8%,33.7%,67.3%,18.7%,14.0%,1819
North Carolina,Yadkin,30.4%,37.8%,70.4%,3.6%,26.1%,1821
North Carolina,Yancey,28.7%,40.4%,68.9%,7.7%,23.5%,1823
North Dakota,Adams,28.9%,48.0%,76.0%,18.2%,5.8%,1826
North Dakota,Barnes,24.0%,39.0%,71.7%,24.6%,3.8%,1828
North Dakota,Benson,39.5%,35.9%,78.5%,12.9%,8.6%,1831
North Dakota,Billings,23.4%,39.8%,85.0%,3.4%,11.6%,1833
North Dakota,Bottineau,24.9%,42.5%,85.5%,8.7%,5.8%,1836
North Dakota,Bowman,28.8%,40.9%,85.9%,6.0%,8.1%,1838
North Dakota,Burke,22.3%,49.3%,86.6%,6.4%,7.0%,1841
North Dakota,Burleigh,30.2%,28.9%,62.5%,28.9%,8.6%,1844
North Dakota,Cass,27.4%,21.9%,54.0%,43.0%,3.0%,1848
North Dakota,Cavalier,24.1%,44.8%,87.0%,9.7%,3.4%,1849
North Dakota,Dickey,24.7%,46.8%,73.4%,18.4%,8.2%,2004
North Dakota,Divide,20.0%,42.5%,92.9%,6.0%,1.1%,2007
North Dakota,Dunn,26.3%,42.3%,84.2%,4.6%,11.2%,2013
North Dakota,Eddy,25.6%,44.0%,84.7%,10.7%,4.6%,2017
North Dakota,Emmons,23.3%,50.1%,86.9%,6.5%,6.6%,2021
North Dakota,Foster,25.4%,41.8%,81.0%,16.4%,2.6%,2026
North Dakota,Golden Valley,25.5%,44.5%,81.4%,9.2%,9.5%,2036
North Dakota,Grand Forks,27.4%,24.2%,58.0%,37.6%,4.5%,2043
North Dakota,Grant,19.4%,50.3%,88.4%,6.0%,5.6%,2051
North Dakota,Griggs,20.3%,51.0%,86.6%,9.8%,3.5%,2056
North Dakota,Hettinger,24.0%,46.6%,89.6%,5.4%,5.0%,2063
North Dakota,Kidder,23.7%,41.9%,80.7%,7.9%,11.4%,2068
North Dakota,LaMoure,20.9%,45.4%,86.4%,8.8%,4.8%,2074
North Dakota,Logan,24.8%,46.4%,86.1%,7.4%,6.5%,2078
North Dakota,McHenry,24.5%,42.8%,83.0%,7.5%,9.4%,2082
North Dakota,McIntosh,22.3%,49.0%,92.7%,4.7%,2.5%,2090
North Dakota,McKenzie,31.8%,34.5%,81.6%,8.0%,10.4%,2097
North Dakota,McLean,23.0%,43.3%,84.6%,10.0%,5.4%,2103
North Dakota,Mercer,27.1%,30.2%,76.0%,15.4%,8.7%,2107
North Dakota,Morton,31.1%,34.3%,70.8%,15.6%,13.6%,2114
North Dakota,Mountrail,38.3%,30.7%,76.1%,9.5%,14.3%,2119
North Dakota,Nelson,20.0%,53.0%,87.7%,9.8%,2.5%,2122
North Dakota,Oliver,30.4%,42.9%,85.0%,2.0%,13.0%,2127
North Dakota,Pembina,28.3%,38.1%,84.5%,11.4%,4.1%,2131
North Dakota,Pierce,22.0%,48.6%,76.3%,15.9%,7.9%,2136
North Dakota,Ramsey,29.8%,37.8%,62.2%,28.7%,9.1%,2141
North Dakota,Ransom,33.2%,34.2%,80.7%,12.9%,6.4%,2147
North Dakota,Renville,27.3%,38.2%,83.6%,6.1%,10.3%,2150
North Dakota,Richland,30.0%,32.3%,75.5%,19.1%,5.4%,2156
North Dakota,Rolette,44.1%,31.5%,69.9%,8.8%,21.3%,2161
North Dakota,Sargent,26.8%,38.1%,80.9%,10.3%,8.8%,2164
North Dakota,Sheridan,18.2%,48.0%,86.4%,5.3%,8.3%,2169
North Dakota,Sioux,49.1%,27.2%,82.4%,10.0%,7.6%,2175
North Dakota,Slope,29.1%,35.5%,84.4%,4.6%,11.0%,2180
North Dakota,Stark,27.9%,33.7%,74.2%,20.2%,5.6%,2182
North Dakota,Steele,24.7%,44.0%,89.7%,7.3%,3.0%,2186
North Dakota,Stutsman,27.6%,37.1%,72.3%,22.6%,5.1%,2199
North Dakota,Towner,25.2%,47.3%,87.9%,10.6%,1.5%,2205
North Dakota,Traill,29.4%,38.8%,78.9%,16.1%,5.0%,2217
North Dakota,Walsh,25.3%,38.8%,78.5%,15.3%,6.2%,2225
North Dakota,Ward,34.2%,27.7%,66.0%,24.6%,9.4%,2233
North Dakota,Wells,21.7%,51.3%,86.9%,8.7%,4.3%,2237
North Dakota,Williams,27.8%,33.0%,72.5%,18.4%,9.1%,2244
Ohio,Adams,34.3%,38.7%,71.0%,5.4%,23.7%,2248
Ohio,Allen,32.9%,35.0%,80.1%,15.8%,4.2%,2250
Ohio,Ashland,31.2%,36.7%,83.3%,10.6%,6.1%,2254
Ohio,Ashtabula,32.4%,36.0%,80.2%,13.9%,6.0%,2259
Ohio,Athens,25.0%,27.9%,61.1%,21.8%,17.1%,2266
Ohio,Auglaize,34.3%,33.7%,84.3%,11.5%,4.2%,2273
Ohio,Belmont,28.7%,37.5%,78.7%,14.3%,7.0%,2278
Ohio,Brown,32.8%,35.6%,75.8%,7.5%,16.7%,2282
Ohio,Butler,35.9%,29.1%,77.2%,20.1%,2.7%,2286
Ohio,Carroll,30.9%,37.8%,81.2%,5.8%,13.0%,2289
Ohio,Champaign,35.3%,35.4%,80.9%,12.9%,6.2%,2291
Ohio,Clark,32.2%,37.4%,78.4%,17.0%,4.6%,2300
Ohio,Clermont,37.0%,30.1%,76.9%,16.6%,6.5%,2306
Ohio,Clinton,36.4%,33.5%,77.4%,15.0%,7.6%,2310
Ohio,Columbiana,30.5%,38.4%,78.9%,11.6%,9.5%,2315
Ohio,Coshocton,30.0%,38.0%,77.3%,9.7%,13.0%,2317
Ohio,Crawford,31.5%,38.4%,82.3%,14.1%,3.6%,2323
Ohio,Cuyahoga,29.5%,35.0%,67.4%,32.0%,0.6%,2332
Ohio,Darke,30.9%,36.7%,86.4%,9.6%,4.0%,2345
Ohio,Defiance,33.2%,34.1%,82.5%,10.3%,7.2%,2350
Ohio,Delaware,43.4%,24.7%,85.5%,12.5%,2.0%,2352
Ohio,Erie,29.9%,37.7%,78.8%,17.7%,3.5%,2357
Ohio,Fairfield,38.4%,31.3%,83.6%,14.0%,2.4%,2365
Ohio,Fayette,32.4%,35.2%,79.3%,16.5%,4.3%,2368
Ohio,Franklin,31.8%,25.1%,67.1%,32.1%,0.8%,2375
Ohio,Fulton,33.6%,32.5%,81.3%,11.3%,7.3%,2378
Ohio,Gallia,31.0%,38.6%,71.4%,8.3%,20.2%,2383
Ohio,Geauga,36.6%,36.6%,90.9%,5.7%,3.5%,2390
Ohio,Greene,31.2%,32.1%,78.8%,20.2%,1.1%,2393
Ohio,Guernsey,31.2%,37.7%,76.3%,11.5%,12.3%,2399
Ohio,Hamilton,30.7%,30.6%,65.8%,33.3%,0.8%,2411
Ohio,Hancock,32.0%,31.5%,74.9%,19.7%,5.4%,2427
Ohio,Hardin,32.4%,33.6%,77.5%,15.9%,6.6%,2432
Ohio,Harrison,30.1%,40.7%,81.2%,6.7%,12.0%,2440
Ohio,Henry,33.0%,35.0%,82.3%,11.1%,6.5%,2451
Ohio,Highland,35.7%,36.4%,74.2%,10.5%,15.3%,2457
Ohio,Hocking,34.0%,34.8%,72.0%,9.1%,18.9%,2461
Ohio,Holmes,42.1%,31.0%,85.7%,5.2%,9.2%,2464
Ohio,Huron,36.3%,33.5%,76.4%,15.4%,8.2%,2468
Ohio,Jackson,34.5%,35.1%,69.9%,11.4%,18.7%,2472
Ohio,Jefferson,28.3%,40.5%,80.1%,13.3%,6.5%,2476
Ohio,Knox,32.5%,34.8%,83.1%,11.4%,5.4%,2479
Ohio,Lake,30.2%,35.5%,80.9%,17.1%,2.0%,2493
Ohio,Lawrence,32.8%,37.9%,75.2%,9.6%,15.2%,2499
Ohio,Licking,34.8%,32.1%,80.1%,15.8%,4.1%,2504
Ohio,Logan,33.5%,32.7%,79.1%,13.1%,7.8%,2510
Ohio,Lorain,34.1%,34.1%,81.6%,16.2%,2.1%,2516
Ohio,Lucas,32.2%,31.4%,73.7%,23.8%,2.5%,2520
Ohio,Madison,33.0%,33.7%,78.7%,14.2%,7.1%,2529
Ohio,Mahoning,29.3%,40.1%,81.1%,17.4%,1.5%,2534
Ohio,Marion,32.5%,36.3%,80.5%,14.8%,4.8%,2541
Ohio,Medina,36.9%,31.6%,86.3%,12.4%,1.4%,2545
Ohio,Meigs,27.8%,38.1%,73.7%,5.8%,20.6%,2549
Ohio,Mercer,33.5%,35.7%,83.3%,11.6%,5.1%,2552
Ohio,Miami,32.3%,35.0%,82.6%,16.1%,1.4%,2558
Ohio,Monroe,27.4%,42.6%,81.1%,4.4%,14.5%,2565
Ohio,Montgomery,30.4%,33.7%,74.8%,24.0%,1.2%,2573
Ohio,Morgan,32.3%,40.3%,75.1%,5.3%,19.6%,2000
Ohio,Morrow,37.0%,33.5%,81.7%,5.7%,12.5%,2006
Ohio,Muskingum,32.5%,35.6%,73.3%,16.6%,10.0%,2010
Ohio,Noble,19.5%,53.3%,80.6%,5.2%,14.2%,2012
Ohio,Ottawa,28.2%,40.2%,81.1%,9.9%,9.0%,2019
Ohio,Paulding,35.6%,34.4%,82.3%,8.4%,9.4%,2024
Ohio,Perry,36.5%,33.7%,75.3%,8.4%,16.3%,2027
Ohio,Pickaway,37.8%,34.5%,81.1%,9.4%,9.5%,2031
Ohio,Pike,36.5%,34.8%,68.0%,8.9%,23.1%,2034
Ohio,Portage,31.7%,30.1%,72.0%,21.3%,6.7%,2038
Ohio,Preble,33.0%,36.3%,89.0%,8.0%,3.0%,2039
Ohio,Putnam,36.0%,33.7%,87.7%,7.6%,4.7%,2040
Ohio,Richland,31.2%,36.6%,79.4%,16.5%,4.1%,2042
Ohio,Ross,33.3%,35.0%,76.4%,10.7%,13.0%,2045
Ohio,Sandusky,31.8%,35.1%,80.3%,14.5%,5.1%,2047
Ohio,Scioto,32.2%,38.1%,72.6%,13.6%,13.8%,2048
Ohio,Seneca,32.3%,35.3%,82.3%,12.2%,5.5%,2049
Ohio,Shelby,37.6%,30.5%,83.1%,12.6%,4.3%,2052
Ohio,Stark,31.2%,36.0%,80.6%,17.3%,2.1%,2054
Ohio,Summit,29.9%,33.4%,78.3%,20.7%,1.0%,2057
Ohio,Trumbull,28.4%,38.6%,79.4%,15.4%,5.1%,2061
Ohio,Tuscarawas,31.0%,38.2%,77.3%,12.6%,10.2%,2065
Ohio,Union,40.7%,26.8%,82.6%,14.3%,3.1%,2067
Ohio,Van Wert,30.7%,36.1%,87.2%,6.7%,6.1%,2071
Ohio,Vinton,36.3%,35.2%,72.6%,4.7%,22.7%,2075
Ohio,Warren,41.4%,27.1%,85.2%,13.8%,1.0%,2076
Ohio,Washington,29.6%,36.8%,74.7%,13.7%,11.6%,2080
Ohio,Wayne,32.6%,35.4%,78.2%,14.0%,7.8%,2084
Ohio,Williams,31.5%,35.0%,79.1%,12.2%,8.6%,2087
Ohio,Wood,29.4%,29.2%,71.0%,21.9%,7.1%,2091
Ohio,Wyandot,33.3%,35.9%,82.3%,12.8%,4.9%,2093
Oklahoma,Adair,38.0%,37.0%,73.9%,6.1%,19.9%,2095
Oklahoma,Alfalfa,28.6%,43.8%,93.1%,0.8%,6.1%,2099
Oklahoma,Atoka,31.0%,42.2%,80.6%,3.9%,15.5%,2102
Oklahoma,Beaver,33.0%,37.4%,79.5%,3.1%,17.4%,2104
Oklahoma,Beckham,33.3%,32.5%,79.3%,12.7%,8.0%,2106
Oklahoma,Blaine,31.6%,41.4%,83.7%,5.4%,10.9%,2110
Oklahoma,Bryan,31.8%,36.2%,74.3%,10.5%,15.2%,2112
Oklahoma,Caddo,37.4%,39.5%,82.9%,7.0%,10.1%,2118
Oklahoma,Canadian,40.0%,28.4%,85.5%,9.5%,5.0%,2123
Oklahoma,Carter,34.7%,36.9%,79.4%,8.1%,12.5%,2126
Oklahoma,Cherokee,32.2%,34.9%,66.1%,15.0%,19.0%,2129
Oklahoma,Choctaw,31.0%,43.0%,77.4%,8.5%,14.1%,2133
Oklahoma,Cimarron,32.9%,41.3%,79.8%,4.6%,15.7%,2135
Oklahoma,Cleveland,34.0%,26.4%,75.5%,17.9%,6.6%,2140
Oklahoma,Coal,28.5%,43.3%,85.7%,6.2%,8.1%,2144
Oklahoma,Comanche,39.1%,27.7%,76.9%,17.5%,5.6%,2145
Oklahoma,Cotton,37.6%,38.0%,87.2%,3.9%,8.9%,2146
Oklahoma,Craig,35.6%,40.4%,81.8%,5.0%,13.2%,2148
Oklahoma,Creek,33.8%,35.3%,73.6%,7.2%,19.2%,2151
Oklahoma,Custer,33.1%,30.6%,74.9%,15.2%,9.9%,2153
Oklahoma,Delaware,29.8%,46.3%,68.9%,4.5%,26.6%,2154
Oklahoma,Dewey,31.7%,44.5%,86.5%,1.7%,11.9%,2158
Oklahoma,Ellis,29.5%,42.5%,88.9%,1.4%,9.7%,2165
Oklahoma,Garfield,31.2%,34.1%,86.1%,10.8%,3.1%,2167
Oklahoma,Garvin,36.4%,37.5%,84.7%,5.8%,9.5%,2176
Oklahoma,Grady,36.6%,33.4%,79.8%,6.8%,13.3%,2184
Oklahoma,Grant,28.4%,43.3%,89.9%,3.2%,6.9%,2187
Oklahoma,Greer,18.7%,50.0%,84.8%,9.3%,5.9%,2189
Oklahoma,Harmon,37.6%,38.9%,93.1%,3.8%,3.1%,2191
Oklahoma,Harper,30.8%,40.2%,86.5%,5.4%,8.1%,2193
Oklahoma,Haskell,31.9%,45.4%,78.8%,3.1%,18.2%,2195
Oklahoma,Hughes,33.1%,43.8%,83.0%,3.5%,13.6%,2197
Oklahoma,Jackson,37.6%,31.9%,86.0%,9.5%,4.5%,2202
Oklahoma,Jefferson,32.5%,47.0%,86.1%,5.9%,8.1%,2206
Oklahoma,Johnston,37.0%,44.8%,77.5%,6.5%,16.0%,2211
Oklahoma,Kay,30.3%,38.4%,85.5%,9.7%,4.8%,2215
Oklahoma,Kingfisher,36.8%,36.2%,81.2%,3.5%,15.4%,2219
Oklahoma,Kiowa,33.0%,38.1%,87.0%,7.8%,5.3%,2222
Oklahoma,Latimer,33.2%,41.7%,81.7%,3.4%,14.9%,2226
Oklahoma,Le Flore,35.2%,36.1%,80.6%,4.1%,15.3%,2230
Oklahoma,Lincoln,32.2%,36.9%,78.4%,3.4%,18.2%,2234
Oklahoma,Logan,35.6%,31.0%,77.8%,3.5%,18.7%,2236
Oklahoma,Love,29.4%,39.0%,79.3%,2.6%,18.1%,2238
Oklahoma,McClain,39.4%,33.0%,81.2%,2.6%,16.2%,2245
Oklahoma,McCurtain,34.5%,37.5%,85.5%,4.7%,9.8%,2252
Oklahoma,McIntosh,24.8%,50.5%,75.6%,3.6%,20.9%,2258
Oklahoma,Major,31.4%,38.7%,81.7%,5.0%,13.3%,2260
Oklahoma,Marshall,29.8%,44.5%,75.6%,4.5%,19.9%,2265
Oklahoma,Mayes,32.9%,37.0%,74.0%,5.8%,20.2%,2270
Oklahoma,Murray,32.1%,40.7%,82.9%,3.6%,13.5%,2276
Oklahoma,Muskogee,33.2%,36.6%,75.8%,13.6%,10.5%,2281
Oklahoma,Noble,29.6%,36.0%,83.2%,3.3%,13.5%,2287
Oklahoma,Nowata,31.4%,38.4%,75.4%,6.5%,18.1%,2290
Oklahoma,Okfuskee,31.6%,39.5%,72.9%,6.8%,20.3%,2297
Oklahoma,Oklahoma,32.5%,29.7%,75.5%,21.7%,2.8%,2303
Oklahoma,Okmulgee,34.0%,38.0%,78.1%,8.1%,13.8%,2311
Oklahoma,Osage,33.3%,37.6%,76.8%,6.8%,16.4%,2318
Oklahoma,Ottawa,32.0%,41.5%,80.0%,8.2%,11.8%,2325
Oklahoma,Pawnee,31.0%,40.9%,74.7%,3.8%,21.6%,2329
Oklahoma,Payne,25.8%,25.3%,65.1%,24.4%,10.5%,2340
Oklahoma,Pittsburg,29.9%,40.3%,79.0%,7.5%,13.5%,2344
Oklahoma,Pontotoc,34.0%,34.2%,79.7%,11.0%,9.3%,2351
Oklahoma,Pottawatomie,36.5%,35.4%,77.5%,8.7%,13.9%,2356
Oklahoma,Pushmataha,26.1%,44.8%,80.4%,5.8%,13.7%,2362
Oklahoma,Roger Mills,32.3%,43.1%,84.4%,1.7%,13.9%,2369
Oklahoma,Rogers,38.8%,32.5%,80.8%,6.9%,12.3%,2374
Oklahoma,Seminole,32.2%,41.7%,80.7%,7.4%,11.9%,2384
Oklahoma,Sequoyah,35.5%,37.5%,76.5%,7.4%,16.0%,2391
Oklahoma,Stephens,29.2%,38.1%,86.7%,6.5%,6.8%,2396
Oklahoma,Texas,38.9%,31.3%,72.4%,10.0%,17.6%,2003
Oklahoma,Tillman,29.7%,44.3%,87.3%,5.5%,7.2%,2005
