County,State,Year Structure Built: 2000+,Year Structure Built: 1990 to 1999,Year Structure Built: 1980 to 1989,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,FID
Iowa,Linn,14.4%,15.9%,7.8%,30.2%,15.6%,16.2%,6.0%,31.5%,40.8%,21.6%,535
Iowa,Louisa,5.0%,9.4%,8.4%,29.3%,9.6%,38.3%,4.6%,22.1%,33.6%,39.7%,539
Iowa,Lucas,6.4%,9.8%,5.5%,27.7%,15.8%,34.8%,7.0%,28.6%,31.8%,32.6%,542
Iowa,Lyon,4.3%,9.1%,7.6%,26.3%,17.4%,35.3%,1.8%,23.0%,42.4%,32.9%,546
Iowa,Madison,12.9%,13.6%,6.2%,21.2%,10.2%,35.9%,4.9%,22.8%,36.4%,35.9%,550
Iowa,Mahaska,8.8%,9.9%,9.7%,23.4%,16.4%,31.8%,5.5%,22.9%,38.7%,32.9%,554
Iowa,Marion,13.1%,13.4%,9.7%,27.9%,12.5%,23.4%,5.0%,23.4%,40.5%,31.1%,561
Iowa,Marshall,4.5%,8.0%,5.8%,26.6%,20.3%,34.7%,6.7%,30.1%,38.4%,24.7%,568
Iowa,Mills,12.3%,13.6%,8.9%,27.6%,7.0%,30.5%,3.8%,21.5%,41.5%,33.2%,569
Iowa,Mitchell,5.7%,9.3%,5.0%,21.0%,19.5%,39.5%,4.4%,25.6%,38.4%,31.6%,572
Iowa,Monona,3.5%,7.5%,5.9%,20.0%,20.5%,42.7%,5.2%,30.2%,31.6%,33.0%,576
Iowa,Monroe,8.3%,9.3%,7.0%,26.0%,14.4%,35.0%,4.4%,26.4%,34.2%,34.9%,580
Iowa,Montgomery,4.2%,6.2%,5.3%,20.3%,18.2%,45.9%,6.3%,30.1%,35.1%,28.6%,595
Iowa,Muscatine,9.0%,10.7%,9.9%,24.0%,12.6%,33.8%,5.5%,28.1%,40.1%,26.3%,600
Iowa,O'Brien,6.1%,7.6%,4.7%,23.0%,21.3%,37.3%,6.5%,29.4%,37.1%,27.0%,604
Iowa,Osceola,3.9%,6.7%,2.6%,19.8%,29.6%,37.4%,5.2%,27.2%,36.6%,30.9%,607
Iowa,Page,2.9%,4.2%,5.4%,26.4%,19.4%,41.8%,2.8%,34.9%,40.4%,21.9%,612
Iowa,Palo Alto,4.4%,6.3%,8.8%,23.9%,18.9%,37.7%,3.9%,30.5%,39.6%,26.0%,618
Iowa,Plymouth,7.8%,12.1%,8.3%,26.7%,16.6%,28.5%,5.1%,22.3%,40.9%,31.7%,622
Iowa,Pocahontas,1.8%,5.0%,6.0%,24.3%,22.8%,40.0%,5.1%,28.8%,39.4%,26.7%,624
Iowa,Polk,14.8%,14.0%,10.5%,25.1%,18.4%,17.1%,6.0%,32.0%,42.4%,19.6%,629
Iowa,Pottawattamie,10.2%,9.9%,6.8%,26.5%,20.3%,26.2%,5.8%,31.5%,37.0%,25.7%,637
Iowa,Poweshiek,8.7%,9.6%,8.5%,26.8%,14.5%,31.8%,8.5%,28.0%,39.0%,24.4%,640
Iowa,Ringgold,13.5%,13.2%,4.7%,22.6%,11.5%,34.4%,4.4%,25.6%,38.3%,31.7%,642
Iowa,Sac,3.9%,6.9%,3.9%,21.0%,25.4%,38.8%,4.3%,26.6%,38.0%,31.1%,647
Iowa,Scott,9.8%,9.7%,7.4%,31.6%,23.8%,17.7%,5.8%,32.4%,41.2%,20.6%,657
Iowa,Shelby,2.5%,4.1%,9.3%,25.4%,18.2%,40.6%,6.2%,26.2%,35.1%,32.5%,660
Iowa,Sioux,9.5%,10.5%,7.5%,26.0%,17.0%,29.5%,3.7%,25.2%,44.3%,26.8%,663
Iowa,Story,18.6%,17.4%,8.5%,28.5%,10.3%,16.6%,5.6%,30.5%,43.6%,20.3%,668
Iowa,Tama,7.9%,8.2%,5.7%,20.6%,14.5%,43.1%,3.9%,25.8%,39.3%,30.9%,671
Iowa,Taylor,4.1%,3.3%,4.6%,22.0%,14.4%,51.6%,4.4%,27.4%,40.5%,27.8%,674
Iowa,Union,5.7%,5.7%,6.3%,25.4%,17.7%,39.2%,6.6%,28.1%,34.6%,30.7%,675
Iowa,Van Buren,6.0%,13.2%,9.3%,23.1%,6.6%,41.9%,5.6%,20.1%,41.1%,33.2%,678
Iowa,Wapello,3.7%,7.2%,6.2%,21.5%,25.8%,35.6%,6.8%,32.9%,34.8%,25.4%,681
Iowa,Warren,15.1%,14.3%,9.9%,33.6%,12.2%,15.0%,3.5%,21.9%,41.4%,33.2%,685
Iowa,Washington,8.9%,12.7%,7.0%,23.0%,11.1%,37.4%,5.5%,29.7%,36.7%,28.1%,687
Iowa,Wayne,6.4%,7.0%,5.6%,31.3%,12.5%,37.2%,8.2%,23.2%,40.4%,28.2%,691
Iowa,Webster,4.9%,7.1%,4.3%,27.5%,23.6%,32.7%,6.3%,34.5%,37.0%,22.2%,694
Iowa,Winnebago,2.9%,5.7%,8.5%,33.5%,22.0%,27.5%,6.9%,28.1%,37.4%,27.7%,696
Iowa,Winneshiek,10.3%,11.9%,7.5%,18.1%,11.4%,40.8%,5.1%,28.4%,37.8%,28.7%,698
Iowa,Woodbury,5.4%,8.9%,6.5%,24.3%,21.8%,33.1%,7.0%,32.2%,39.1%,21.7%,702
Iowa,Worth,4.2%,4.8%,5.7%,26.0%,18.9%,40.4%,3.8%,24.8%,36.8%,34.5%,703
Iowa,Wright,2.1%,5.4%,4.9%,32.7%,21.2%,33.6%,6.3%,32.3%,36.0%,25.4%,705
Kansas,Allen,3.9%,7.7%,9.7%,27.7%,18.0%,33.1%,4.7%,30.2%,34.5%,30.6%,709
Kansas,Anderson,7.4%,12.5%,7.7%,22.1%,16.4%,33.8%,7.4%,22.7%,38.2%,31.7%,712
Kansas,Atchison,6.0%,9.4%,9.1%,26.9%,15.9%,32.6%,8.7%,26.8%,39.2%,25.3%,715
Kansas,Barber,3.3%,5.3%,6.5%,22.2%,33.6%,29.1%,4.5%,33.4%,35.5%,26.6%,717
Kansas,Barton,4.7%,4.9%,9.9%,25.3%,30.1%,25.1%,5.3%,26.5%,40.9%,27.4%,719
Kansas,Bourbon,7.7%,10.4%,9.0%,22.8%,17.2%,32.8%,5.4%,29.7%,36.2%,28.7%,722
Kansas,Brown,5.0%,7.7%,8.1%,26.8%,13.9%,38.5%,7.2%,31.2%,35.9%,25.7%,723
Kansas,Butler,13.6%,19.6%,14.2%,20.4%,17.9%,14.3%,3.6%,22.5%,40.2%,33.7%,726
Kansas,Chase,2.8%,5.4%,13.0%,22.4%,16.7%,39.7%,3.4%,31.7%,32.0%,32.9%,729
Kansas,Chautauqua,2.8%,5.1%,10.9%,18.1%,20.5%,42.5%,3.6%,30.6%,28.3%,37.5%,730
Kansas,Cherokee,6.4%,17.8%,7.6%,23.1%,17.8%,27.3%,5.6%,30.7%,36.0%,27.6%,732
Kansas,Cheyenne,2.6%,3.7%,7.2%,23.5%,27.2%,35.8%,3.2%,32.9%,35.3%,28.5%,736
Kansas,Clark,2.6%,12.5%,2.0%,24.4%,23.0%,35.5%,1.9%,34.4%,30.8%,32.9%,738
Kansas,Clay,4.5%,7.4%,6.4%,27.6%,18.2%,35.9%,6.0%,28.8%,38.8%,26.5%,739
Kansas,Cloud,2.2%,1.9%,6.1%,27.3%,22.6%,39.9%,4.9%,33.8%,34.3%,27.0%,740
Kansas,Coffey,7.0%,10.9%,11.4%,28.9%,12.1%,29.8%,3.6%,20.1%,35.8%,40.4%,745
Kansas,Comanche,4.8%,2.3%,10.0%,11.2%,28.2%,43.5%,3.2%,31.5%,47.5%,17.8%,748
Kansas,Cowley,5.6%,8.8%,9.3%,20.3%,22.6%,33.4%,5.8%,28.4%,35.6%,30.3%,752
Kansas,Crawford,10.8%,11.1%,7.9%,23.7%,18.3%,28.2%,5.8%,32.1%,38.2%,23.9%,756
Kansas,Decatur,3.0%,5.6%,7.5%,18.9%,19.6%,45.4%,3.6%,28.7%,37.2%,30.5%,759
Kansas,Dickinson,5.1%,9.4%,6.5%,22.9%,17.0%,39.1%,4.7%,27.5%,37.3%,30.5%,762
Kansas,Doniphan,5.7%,14.6%,10.2%,23.7%,10.0%,35.8%,5.5%,25.6%,40.5%,28.4%,765
Kansas,Douglas,17.9%,19.6%,13.8%,26.7%,10.4%,11.7%,4.8%,32.6%,39.4%,23.1%,767
Kansas,Edwards,1.9%,3.5%,8.9%,22.2%,20.0%,43.6%,4.6%,35.9%,33.5%,26.0%,770
Kansas,Elk,5.1%,8.1%,7.8%,19.2%,15.1%,44.8%,2.5%,31.6%,37.5%,28.4%,773
Kansas,Ellis,7.6%,10.5%,12.5%,36.7%,19.4%,13.4%,5.9%,29.9%,38.4%,25.8%,774
Kansas,Ellsworth,4.1%,7.8%,8.9%,16.7%,20.6%,42.1%,3.0%,26.2%,41.0%,29.8%,776
Kansas,Finney,7.7%,16.7%,17.2%,33.3%,13.0%,12.1%,5.1%,24.9%,41.1%,29.0%,778
Kansas,Ford,6.1%,11.8%,13.2%,36.7%,15.7%,16.5%,8.2%,28.0%,40.1%,23.7%,784
Kansas,Franklin,9.8%,14.5%,9.2%,23.5%,15.0%,28.1%,4.0%,27.4%,36.5%,32.1%,786
Kansas,Geary,17.5%,7.4%,10.7%,33.7%,16.6%,14.1%,5.7%,35.5%,42.6%,16.2%,788
Kansas,Gove,1.3%,5.5%,11.7%,28.8%,21.5%,31.2%,0.8%,23.7%,36.3%,39.3%,790
Kansas,Graham,3.5%,3.2%,6.7%,28.1%,32.8%,25.8%,2.6%,27.8%,35.8%,33.8%,791
Kansas,Grant,4.8%,11.1%,11.1%,44.7%,19.4%,8.9%,6.4%,25.8%,39.8%,27.9%,794
Kansas,Gray,6.5%,13.8%,11.8%,28.5%,16.8%,22.5%,1.4%,23.1%,43.3%,32.2%,798
Kansas,Greeley,0.0%,6.7%,11.2%,31.4%,35.7%,15.0%,2.2%,20.5%,46.9%,30.4%,801
Kansas,Greenwood,4.5%,5.9%,7.1%,17.4%,22.7%,42.5%,6.6%,27.1%,34.4%,31.9%,803
Kansas,Hamilton,2.7%,13.9%,13.7%,26.7%,16.2%,26.9%,2.7%,29.5%,46.8%,21.1%,805
Kansas,Harper,4.2%,4.5%,7.7%,22.3%,21.9%,39.4%,3.8%,31.4%,35.1%,29.6%,807
Kansas,Harvey,8.5%,10.0%,8.5%,25.0%,19.6%,28.4%,4.7%,30.3%,37.3%,27.8%,812
Kansas,Haskell,6.1%,9.8%,14.5%,36.9%,20.1%,12.7%,5.5%,23.7%,40.3%,30.5%,815
Kansas,Hodgeman,2.8%,9.3%,7.4%,25.5%,25.7%,29.4%,3.2%,26.4%,40.0%,30.4%,818
Kansas,Jackson,13.6%,17.4%,7.9%,26.7%,8.3%,26.1%,4.9%,24.3%,31.1%,39.8%,819
Kansas,Jefferson,9.5%,17.8%,10.5%,33.9%,8.7%,19.7%,3.6%,16.0%,39.3%,41.1%,821
Kansas,Jewell,0.5%,7.1%,5.6%,21.0%,15.0%,50.8%,5.6%,25.0%,39.6%,29.8%,822
Kansas,Johnson,16.6%,20.4%,17.9%,27.5%,14.7%,3.0%,3.1%,29.4%,46.3%,21.2%,824
Kansas,Kearny,1.9%,15.6%,25.3%,23.9%,19.5%,13.9%,5.1%,36.3%,38.1%,20.5%,826
Kansas,Kingman,3.1%,7.9%,6.1%,25.2%,18.0%,39.8%,3.1%,26.8%,37.2%,32.9%,827
Kansas,Kiowa,15.3%,3.7%,12.1%,20.9%,20.3%,27.7%,5.1%,24.8%,40.1%,29.9%,829
Kansas,Labette,5.8%,7.4%,9.6%,26.7%,21.2%,29.3%,6.4%,28.0%,38.6%,27.1%,831
Kansas,Lane,3.7%,10.7%,7.1%,24.7%,25.8%,28.0%,4.6%,25.2%,38.2%,32.0%,833
Kansas,Leavenworth,16.9%,16.0%,13.0%,23.9%,11.9%,18.3%,4.8%,25.6%,40.5%,29.1%,836
Kansas,Lincoln,2.9%,3.9%,7.3%,19.3%,17.2%,49.4%,3.0%,25.1%,40.7%,31.2%,838
Kansas,Linn,9.1%,17.2%,12.5%,25.5%,7.5%,28.3%,4.3%,19.8%,37.9%,38.0%,840
Kansas,Logan,2.2%,5.9%,11.1%,26.8%,30.7%,23.2%,3.7%,29.5%,39.8%,27.1%,842
Kansas,Lyon,6.6%,7.2%,9.9%,32.6%,12.4%,31.3%,8.4%,30.5%,35.2%,25.9%,844
Kansas,McPherson,7.6%,10.7%,9.5%,28.5%,17.0%,26.7%,3.8%,26.6%,37.8%,31.8%,846
Kansas,Marion,6.5%,10.9%,6.4%,22.6%,18.4%,35.1%,3.3%,24.4%,33.1%,39.2%,848
Kansas,Marshall,6.1%,5.0%,6.8%,19.5%,20.2%,42.5%,6.3%,23.9%,37.6%,32.2%,850
Kansas,Meade,3.0%,6.2%,8.7%,26.6%,29.0%,26.6%,2.7%,30.0%,37.2%,30.2%,851
Kansas,Miami,19.3%,17.9%,10.4%,22.0%,12.2%,18.2%,3.1%,19.8%,38.6%,38.5%,853
Kansas,Mitchell,1.3%,6.7%,6.8%,25.1%,22.7%,37.4%,4.1%,23.2%,47.4%,25.4%,854
Kansas,Montgomery,5.4%,7.0%,9.2%,22.5%,22.3%,33.6%,8.0%,27.8%,36.4%,27.7%,856
Kansas,Morris,5.9%,8.1%,12.2%,19.2%,18.8%,35.9%,6.4%,25.7%,35.3%,32.6%,858
Kansas,Morton,4.3%,9.9%,6.2%,27.2%,37.6%,14.8%,2.0%,22.7%,42.6%,32.7%,859
Kansas,Nemaha,7.0%,10.0%,8.8%,19.7%,16.9%,37.5%,5.9%,22.9%,35.1%,36.1%,861
Kansas,Neosho,5.8%,10.4%,6.6%,21.1%,23.8%,32.4%,5.5%,30.1%,36.1%,28.4%,862
Kansas,Ness,1.9%,3.6%,8.9%,23.7%,25.7%,36.2%,1.2%,29.6%,37.5%,31.6%,864
Kansas,Norton,0.0%,2.6%,11.8%,24.6%,22.1%,38.9%,4.1%,39.6%,31.9%,24.4%,866
Kansas,Osage,7.4%,12.2%,10.3%,31.7%,13.6%,24.7%,5.8%,22.5%,35.0%,36.7%,867
Kansas,Osborne,2.0%,4.1%,5.8%,21.1%,22.0%,45.0%,4.4%,29.3%,33.7%,32.6%,869
Kansas,Ottawa,8.7%,9.8%,12.0%,15.0%,15.7%,38.7%,1.6%,19.7%,36.5%,42.1%,870
Kansas,Pawnee,2.3%,3.1%,6.3%,29.8%,27.0%,31.5%,3.9%,25.9%,43.5%,26.6%,872
Kansas,Phillips,3.6%,6.9%,9.5%,24.5%,20.2%,35.4%,2.5%,21.3%,37.9%,38.3%,873
Kansas,Pottawatomie,15.7%,16.7%,9.2%,25.6%,11.2%,21.7%,2.3%,21.6%,41.5%,34.5%,876
Kansas,Pratt,3.7%,5.1%,10.8%,24.3%,25.1%,31.1%,4.9%,34.2%,34.9%,26.0%,878
Kansas,Rawlins,1.2%,3.5%,5.5%,20.5%,24.4%,45.0%,5.7%,25.8%,34.7%,33.8%,880
Kansas,Reno,4.6%,7.5%,7.9%,28.0%,25.6%,26.4%,5.6%,35.0%,36.7%,22.7%,882
Kansas,Republic,5.0%,2.7%,5.2%,18.1%,25.1%,43.9%,3.8%,30.0%,32.0%,34.2%,884
Kansas,Rice,2.9%,6.4%,3.7%,24.9%,27.6%,34.5%,4.9%,30.0%,40.4%,24.7%,886
Kansas,Riley,13.4%,12.5%,14.2%,33.8%,12.9%,13.2%,4.8%,33.2%,42.1%,19.9%,888
Kansas,Rooks,2.7%,2.0%,6.2%,20.9%,37.5%,30.6%,3.7%,28.6%,36.6%,31.1%,889
Kansas,Rush,1.8%,4.0%,4.6%,23.8%,27.6%,38.2%,3.8%,28.1%,32.9%,35.1%,891
Kansas,Russell,3.9%,2.6%,6.7%,27.7%,29.9%,29.3%,6.7%,33.7%,33.3%,26.3%,893
Kansas,Saline,7.1%,10.3%,8.1%,28.3%,28.8%,17.3%,6.2%,33.2%,36.8%,23.8%,895
Kansas,Scott,5.4%,9.0%,9.2%,29.3%,25.6%,21.6%,2.9%,25.6%,42.2%,29.3%,897
Kansas,Sedgwick,11.5%,14.5%,13.8%,21.8%,28.2%,10.2%,6.2%,32.7%,39.2%,21.8%,898
Kansas,Seward,6.9%,8.5%,15.4%,36.5%,19.8%,12.9%,4.7%,31.6%,41.2%,22.5%,900
Kansas,Shawnee,8.7%,11.5%,11.9%,31.8%,22.1%,14.0%,6.8%,33.4%,38.7%,21.1%,902
Kansas,Sheridan,0.9%,6.0%,7.0%,26.3%,28.4%,31.5%,3.4%,31.8%,33.7%,31.1%,904
Kansas,Sherman,2.8%,10.9%,8.5%,27.4%,28.8%,21.5%,7.0%,28.6%,41.1%,23.2%,907
Kansas,Smith,1.9%,3.4%,4.6%,28.3%,21.1%,40.7%,3.9%,23.2%,41.0%,32.0%,909
Kansas,Stafford,0.9%,4.8%,6.1%,17.5%,21.5%,49.2%,3.6%,29.7%,38.5%,28.2%,911
Kansas,Stanton,0.3%,12.2%,11.5%,41.3%,28.3%,6.4%,4.9%,17.6%,45.7%,31.7%,913
Kansas,Stevens,6.6%,11.4%,13.3%,36.8%,18.0%,13.9%,3.0%,20.2%,47.1%,29.8%,914
Kansas,Sumner,5.0%,9.4%,9.9%,21.4%,20.5%,33.8%,5.8%,25.3%,36.0%,32.9%,916
Kansas,Thomas,1.8%,2.2%,13.7%,46.0%,18.6%,17.6%,6.0%,28.4%,35.8%,29.8%,917
Kansas,Trego,4.9%,0.9%,9.7%,25.1%,30.5%,28.8%,3.4%,24.8%,32.0%,39.8%,919
Kansas,Wabaunsee,5.8%,10.9%,9.7%,24.5%,10.9%,38.2%,3.5%,24.7%,30.2%,41.6%,920
Kansas,Wallace,3.8%,6.0%,8.2%,30.5%,23.1%,28.4%,1.7%,21.2%,29.5%,47.6%,921
Kansas,Washington,3.0%,5.0%,7.1%,20.5%,18.0%,46.4%,5.0%,26.2%,35.5%,33.3%,922
Kansas,Wichita,0.0%,5.8%,12.0%,47.3%,23.0%,11.8%,1.4%,20.7%,40.8%,37.1%,923
Kansas,Wilson,5.4%,8.8%,9.0%,22.0%,18.5%,36.3%,6.4%,24.3%,39.2%,30.1%,925
Kansas,Woodson,6.6%,6.5%,7.9%,23.6%,16.3%,39.0%,5.9%,31.1%,37.0%,25.9%,926
Kansas,Wyandotte,7.1%,5.6%,8.1%,29.0%,30.5%,19.7%,9.3%,36.3%,34.6%,19.9%,927
Kentucky,Adair,11.4%,21.0%,16.4%,26.0%,17.7%,7.6%,8.4%,29.3%,39.5%,22.8%,928
Kentucky,Allen,14.8%,24.6%,15.1%,23.0%,12.3%,10.3%,7.1%,29.0%,36.6%,27.2%,929
Kentucky,Anderson,17.6%,26.0%,14.4%,27.6%,7.7%,6.6%,3.0%,24.2%,42.2%,30.5%,930
Kentucky,Ballard,8.4%,16.9%,12.3%,36.0%,17.7%,8.7%,6.8%,25.2%,40.0%,28.0%,932
Kentucky,Barren,13.9%,20.4%,10.5%,30.5%,15.4%,9.4%,7.1%,29.5%,38.8%,24.6%,933
Kentucky,Bath,12.9%,19.4%,16.1%,25.6%,17.4%,8.5%,6.6%,30.0%,35.3%,28.2%,934
Kentucky,Bell,6.2%,15.6%,16.4%,31.2%,19.8%,10.7%,14.5%,37.4%,33.7%,14.3%,936
Kentucky,Boone,29.5%,28.9%,14.6%,17.3%,6.4%,3.3%,4.2%,25.8%,46.0%,24.1%,1002
Kentucky,Bourbon,9.5%,15.7%,12.6%,25.4%,15.7%,21.0%,9.5%,34.3%,34.5%,21.7%,1005
Kentucky,Boyd,6.4%,11.8%,10.7%,34.2%,22.8%,14.1%,9.6%,34.3%,34.6%,21.5%,1008
Kentucky,Boyle,10.5%,20.3%,12.9%,29.1%,16.9%,10.4%,6.6%,34.3%,40.4%,18.7%,1010
Kentucky,Bracken,9.0%,18.8%,15.0%,17.0%,14.5%,25.6%,6.9%,33.7%,33.8%,25.6%,1013
Kentucky,Breathitt,10.6%,17.4%,20.2%,34.3%,12.0%,5.6%,13.7%,39.3%,34.5%,12.5%,1017
Kentucky,Breckinridge,10.5%,21.3%,14.1%,31.2%,11.4%,11.5%,6.5%,25.8%,35.8%,31.9%,1020
Kentucky,Bullitt,23.5%,26.3%,12.6%,27.7%,6.9%,2.9%,3.3%,26.3%,42.3%,28.1%,1024
Kentucky,Butler,11.1%,21.5%,19.7%,28.9%,12.1%,6.6%,8.1%,29.7%,35.5%,26.7%,1026
Kentucky,Caldwell,8.3%,12.7%,7.8%,31.6%,21.4%,18.3%,5.7%,33.1%,39.8%,21.4%,1031
Kentucky,Calloway,15.4%,20.0%,11.3%,31.0%,14.6%,7.7%,5.6%,34.3%,40.3%,19.7%,1033
Kentucky,Campbell,9.1%,15.6%,11.5%,18.9%,15.9%,29.0%,8.2%,34.3%,36.8%,20.7%,1035
Kentucky,Carlisle,6.6%,16.7%,14.0%,35.2%,16.8%,10.8%,5.6%,24.7%,42.0%,27.7%,1039
Kentucky,Carroll,7.0%,22.9%,12.4%,30.6%,10.5%,16.7%,9.6%,32.4%,36.2%,21.8%,1041
Kentucky,Carter,12.8%,20.8%,14.5%,31.7%,12.7%,7.6%,7.4%,28.5%,37.8%,26.3%,1044
Kentucky,Casey,10.4%,15.2%,15.3%,33.5%,14.6%,11.0%,7.8%,30.6%,35.4%,26.2%,1048
Kentucky,Christian,14.5%,19.8%,10.5%,32.9%,15.5%,6.8%,7.6%,35.3%,38.8%,18.2%,1050
Kentucky,Clark,14.2%,16.5%,13.4%,30.8%,15.5%,9.6%,6.9%,31.4%,39.8%,21.9%,1053
Kentucky,Clay,6.7%,33.2%,18.9%,28.0%,9.7%,3.5%,12.4%,39.0%,34.3%,14.4%,1056
Kentucky,Clinton,9.2%,19.8%,16.5%,29.6%,18.3%,6.7%,8.6%,30.9%,37.3%,23.2%,1059
Kentucky,Crittenden,9.4%,13.2%,10.3%,31.7%,20.6%,14.8%,10.6%,28.9%,36.6%,24.0%,1064
Kentucky,Cumberland,9.4%,15.3%,16.0%,30.6%,17.4%,11.4%,8.3%,36.7%,32.1%,23.0%,1067
Kentucky,Daviess,11.3%,14.9%,12.1%,34.1%,19.9%,7.7%,7.4%,31.9%,38.5%,22.1%,1071
Kentucky,Edmonson,12.1%,24.2%,15.5%,26.3%,15.2%,6.6%,4.6%,27.7%,42.4%,25.4%,1073
Kentucky,Elliott,6.6%,18.5%,15.4%,39.7%,13.1%,6.8%,11.2%,34.4%,31.5%,22.8%,1075
Kentucky,Estill,7.4%,14.7%,17.9%,30.1%,15.8%,14.0%,13.3%,31.0%,33.5%,22.1%,1077
Kentucky,Fayette,15.4%,17.1%,16.1%,29.6%,14.1%,7.6%,8.0%,36.9%,39.3%,15.8%,1080
Kentucky,Fleming,12.4%,21.4%,13.3%,22.9%,12.8%,17.2%,10.7%,22.9%,34.1%,32.4%,1083
Kentucky,Floyd,7.7%,17.0%,17.9%,34.5%,13.3%,9.6%,9.8%,35.4%,37.3%,17.5%,1085
Kentucky,Franklin,10.1%,16.6%,10.4%,35.7%,16.0%,11.1%,6.0%,38.1%,35.2%,20.6%,1086
Kentucky,Fulton,4.3%,9.9%,12.1%,35.8%,18.8%,19.1%,12.1%,35.2%,35.9%,16.8%,1088
Kentucky,Gallatin,11.7%,31.9%,14.6%,24.7%,8.9%,8.1%,6.2%,27.6%,36.9%,29.2%,1090
Kentucky,Garrard,12.5%,22.4%,16.4%,27.4%,10.5%,10.7%,5.5%,29.6%,40.6%,24.4%,1092
Kentucky,Grant,20.6%,28.2%,15.5%,18.8%,7.9%,9.0%,4.0%,32.3%,34.7%,29.0%,1094
Kentucky,Graves,7.3%,17.5%,12.8%,34.1%,18.1%,10.2%,6.3%,31.7%,40.1%,21.9%,1097
Kentucky,Grayson,13.3%,21.1%,15.2%,30.3%,12.3%,7.9%,7.3%,28.2%,41.7%,22.9%,1100
Kentucky,Green,8.6%,17.8%,14.1%,31.0%,18.8%,9.7%,7.8%,23.6%,40.4%,28.2%,1102
Kentucky,Greenup,7.9%,13.3%,13.7%,36.3%,20.0%,8.7%,6.7%,28.0%,42.0%,23.3%,1105
Kentucky,Hancock,7.9%,20.2%,15.2%,35.8%,11.1%,9.8%,4.7%,22.5%,43.2%,29.5%,1107
Kentucky,Hardin,16.5%,17.7%,19.0%,31.0%,11.2%,4.6%,4.3%,30.9%,40.1%,24.7%,1110
Kentucky,Harlan,6.4%,13.8%,16.3%,27.3%,22.6%,13.7%,10.8%,38.2%,33.0%,18.0%,1114
Kentucky,Harrison,5.2%,16.0%,16.5%,24.8%,15.3%,22.2%,9.3%,32.2%,31.7%,26.7%,1119
Kentucky,Hart,9.9%,21.4%,14.6%,28.4%,14.0%,11.7%,8.9%,30.5%,39.0%,21.6%,1121
Kentucky,Henderson,10.3%,16.0%,16.7%,26.8%,21.0%,9.2%,7.7%,33.6%,38.6%,20.0%,1126
Kentucky,Henry,9.2%,20.4%,12.9%,31.9%,12.3%,13.3%,6.9%,24.2%,39.2%,29.7%,1129
Kentucky,Hickman,6.8%,14.4%,13.5%,37.9%,14.6%,12.8%,10.7%,27.5%,40.1%,21.7%,1130
Kentucky,Hopkins,9.3%,14.2%,14.4%,33.6%,17.7%,10.9%,6.7%,34.6%,36.9%,21.8%,1136
Kentucky,Jackson,8.9%,24.3%,17.2%,33.5%,9.4%,6.6%,9.2%,33.1%,35.8%,21.9%,1140
Kentucky,Jefferson,10.9%,11.5%,8.3%,30.9%,24.0%,14.5%,10.0%,37.8%,36.8%,15.3%,1143
Kentucky,Jessamine,25.2%,21.3%,15.4%,26.2%,5.8%,6.0%,3.8%,31.7%,43.8%,20.7%,1145
Kentucky,Johnson,7.4%,20.8%,18.0%,30.6%,12.1%,11.0%,8.3%,35.0%,34.6%,22.1%,1148
Kentucky,Kenton,11.1%,14.5%,10.4%,25.4%,17.7%,20.9%,8.6%,31.0%,40.2%,20.2%,1151
Kentucky,Knott,9.7%,21.1%,19.6%,26.3%,15.7%,7.6%,11.1%,32.1%,37.1%,19.7%,1154
Kentucky,Knox,8.7%,21.5%,19.6%,31.0%,12.2%,7.0%,14.0%,35.8%,34.7%,15.4%,1159
Kentucky,Larue,11.6%,21.0%,12.5%,29.2%,15.5%,10.2%,4.2%,27.1%,43.2%,25.4%,1162
Kentucky,Laurel,16.7%,29.0%,16.7%,26.4%,8.3%,2.8%,7.3%,32.1%,39.2%,21.4%,1166
Kentucky,Lawrence,8.5%,16.7%,20.3%,32.4%,13.1%,9.0%,6.7%,34.1%,38.3%,21.0%,1167
Kentucky,Lee,4.5%,19.5%,26.0%,30.0%,13.0%,6.9%,11.1%,33.3%,36.3%,19.3%,1171
Kentucky,Leslie,8.5%,21.0%,20.2%,34.6%,11.1%,4.6%,11.6%,29.3%,39.3%,19.8%,1175
Kentucky,Letcher,6.5%,18.4%,17.4%,29.1%,12.3%,16.4%,13.3%,29.4%,31.4%,26.0%,1178
Kentucky,Lewis,7.2%,23.2%,16.6%,24.9%,14.6%,13.5%,10.5%,22.6%,34.4%,32.4%,1180
Kentucky,Lincoln,9.5%,22.1%,14.0%,32.1%,9.1%,13.3%,7.0%,32.5%,36.7%,23.8%,1184
Kentucky,Livingston,9.5%,16.2%,15.0%,35.8%,16.5%,6.9%,3.2%,33.9%,35.7%,27.2%,1187
Kentucky,Logan,7.4%,20.2%,15.2%,29.3%,17.7%,10.2%,6.6%,28.9%,39.7%,24.9%,1190
Kentucky,Lyon,9.9%,27.6%,15.4%,32.1%,8.3%,6.7%,4.4%,25.8%,45.8%,24.0%,1193
Kentucky,McCracken,9.5%,15.7%,12.3%,31.2%,22.2%,9.2%,7.6%,34.9%,37.5%,20.0%,1196
