County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units
Cleveland County,North Carolina,28.9%,47.1%,74.0%,9.1%,16.9%
Columbus County,North Carolina,29.1%,50.1%,62.7%,7.1%,30.1%
Craven County,North Carolina,29.9%,43.1%,74.9%,11.2%,13.9%
Cumberland County,North Carolina,32.2%,31.7%,68.1%,23.7%,8.2%
Currituck County,North Carolina,30.9%,42.1%,82.1%,2.0%,16.0%
Dare County,North Carolina,23.8%,49.3%,83.7%,8.9%,7.4%
Davidson County,North Carolina,30.9%,42.8%,76.2%,9.8%,14.0%
Davie County,North Carolina,30.1%,49.6%,77.9%,6.1%,16.1%
Duplin County,North Carolina,29.8%,47.1%,60.0%,7.1%,32.9%
Durham County,North Carolina,27.2%,31.6%,66.7%,31.8%,1.5%
Edgecombe County,North Carolina,31.0%,49.9%,61.5%,13.1%,25.5%
Forsyth County,North Carolina,29.3%,39.2%,72.9%,23.9%,3.3%
Franklin County,North Carolina,31.6%,44.4%,71.0%,4.9%,24.1%
Gaston County,North Carolina,31.3%,40.9%,77.3%,14.2%,8.5%
Gates County,North Carolina,24.1%,48.8%,65.3%,1.2%,33.5%
Graham County,North Carolina,25.0%,50.0%,66.1%,3.9%,30.0%
Granville County,North Carolina,31.8%,41.2%,73.7%,7.1%,19.2%
Greene County,North Carolina,32.4%,49.2%,58.0%,4.7%,37.3%
Guilford County,North Carolina,30.9%,37.2%,70.2%,26.9%,2.8%
Halifax County,North Carolina,28.5%,49.2%,66.1%,12.1%,21.8%
Harnett County,North Carolina,35.4%,35.1%,73.2%,8.1%,18.7%
Haywood County,North Carolina,24.7%,50.8%,72.3%,8.2%,19.4%
Henderson County,North Carolina,24.5%,50.8%,74.2%,11.0%,14.9%
Hertford County,North Carolina,22.6%,51.7%,66.7%,9.5%,23.9%
Hoke County,North Carolina,37.9%,30.4%,72.5%,6.1%,21.3%
Hyde County,North Carolina,35.3%,50.0%,80.4%,0.0%,19.6%
Iredell County,North Carolina,34.2%,38.9%,75.7%,11.7%,12.6%
Jackson County,North Carolina,20.0%,46.2%,66.9%,11.4%,21.7%
Johnston County,North Carolina,38.0%,36.6%,76.3%,8.5%,15.2%
Jones County,North Carolina,25.3%,53.2%,63.2%,4.6%,32.1%
Lee County,North Carolina,33.0%,42.4%,70.4%,14.9%,14.7%
Lenoir County,North Carolina,27.7%,45.6%,58.8%,17.9%,23.3%
Lincoln County,North Carolina,31.3%,43.0%,74.0%,6.7%,19.2%
McDowell County,North Carolina,29.6%,45.8%,62.8%,6.5%,30.7%
Macon County,North Carolina,22.7%,54.0%,76.8%,6.3%,16.9%
Madison County,North Carolina,24.0%,51.5%,67.3%,5.9%,26.8%
Martin County,North Carolina,27.8%,52.5%,68.6%,7.9%,23.6%
Mecklenburg County,North Carolina,31.5%,29.0%,67.3%,31.3%,1.4%
Mitchell County,North Carolina,22.9%,53.4%,76.9%,8.5%,14.7%
Montgomery County,North Carolina,25.6%,51.7%,72.9%,7.3%,19.8%
Moore County,North Carolina,25.6%,49.8%,76.8%,10.6%,12.6%
Nash County,North Carolina,30.3%,44.0%,66.4%,15.0%,18.6%
New Hanover County,North Carolina,23.6%,39.2%,68.7%,28.4%,2.9%
Northampton County,North Carolina,24.6%,55.0%,75.2%,4.7%,20.1%
Onslow County,North Carolina,37.9%,26.8%,74.9%,12.5%,12.5%
Orange County,North Carolina,29.2%,37.0%,68.8%,23.9%,7.3%
Pamlico County,North Carolina,20.5%,59.6%,72.0%,4.2%,23.8%
Pasquotank County,North Carolina,28.5%,44.0%,72.6%,12.9%,14.5%
Pender County,North Carolina,30.2%,45.5%,72.0%,4.3%,23.7%
Perquimans County,North Carolina,22.9%,56.6%,74.6%,4.3%,21.1%
Person County,North Carolina,27.1%,47.7%,73.2%,4.6%,22.2%
Pitt County,North Carolina,30.5%,33.5%,60.8%,28.0%,11.3%
Polk County,North Carolina,20.1%,58.2%,76.4%,10.6%,13.0%
Randolph County,North Carolina,31.4%,42.7%,68.0%,10.5%,21.5%
Richmond County,North Carolina,30.8%,44.8%,67.9%,10.1%,22.0%
Robeson County,North Carolina,32.3%,42.8%,54.6%,8.3%,37.1%
Rockingham County,North Carolina,28.5%,46.7%,72.1%,10.3%,17.6%
Rowan County,North Carolina,31.6%,43.7%,71.9%,11.1%,17.0%
Rutherford County,North Carolina,25.9%,48.3%,73.5%,7.3%,19.2%
Sampson County,North Carolina,33.3%,44.5%,58.4%,4.9%,36.8%
Scotland County,North Carolina,30.1%,46.1%,59.7%,14.1%,26.2%
Stanly County,North Carolina,29.8%,45.0%,81.1%,6.9%,12.0%
Stokes County,North Carolina,28.5%,46.2%,71.0%,5.1%,23.9%
Surry County,North Carolina,27.4%,46.7%,68.9%,8.7%,22.4%
Swain County,North Carolina,29.2%,45.7%,66.7%,5.4%,27.9%
Transylvania County,North Carolina,21.3%,55.9%,74.4%,8.3%,17.3%
Tyrrell County,North Carolina,25.6%,52.4%,68.3%,7.1%,24.5%
Union County,North Carolina,43.5%,34.9%,90.6%,4.5%,4.9%
Vance County,North Carolina,31.8%,45.4%,64.6%,13.1%,22.3%
Wake County,North Carolina,34.8%,29.8%,72.1%,25.2%,2.7%
Warren County,North Carolina,24.1%,56.9%,59.6%,5.2%,35.2%
Washington County,North Carolina,21.8%,52.1%,61.8%,11.4%,26.8%
Watauga County,North Carolina,18.5%,38.7%,66.8%,23.9%,9.3%
Wayne County,North Carolina,31.6%,43.3%,63.2%,14.0%,22.9%
Wilkes County,North Carolina,27.4%,46.4%,70.8%,6.8%,22.3%
Wilson County,North Carolina,30.7%,44.7%,68.3%,17.3%,14.4%
Yadkin County,North Carolina,30.1%,44.3%,72.4%,6.3%,21.2%
Yancey County,North Carolina,23.7%,50.4%,70.3%,8.0%,21.7%
Adams County,North Dakota,24.0%,51.0%,75.1%,16.5%,8.3%
Barnes County,North Dakota,24.1%,41.9%,73.6%,21.5%,4.9%
Benson County,North Dakota,35.8%,41.9%,76.4%,7.5%,16.1%
Billings County,North Dakota,25.1%,43.2%,81.7%,6.8%,11.5%
Bottineau County,North Dakota,22.6%,45.0%,82.4%,11.6%,5.9%
Bowman County,North Dakota,23.3%,46.9%,87.5%,5.3%,7.2%
Burke County,North Dakota,24.7%,50.1%,85.9%,8.0%,6.1%
Burleigh County,North Dakota,31.0%,36.1%,66.3%,25.2%,8.5%
Cass County,North Dakota,27.6%,28.1%,54.5%,43.3%,2.3%
Cavalier County,North Dakota,21.2%,45.2%,85.7%,13.4%,0.9%
Dickey County,North Dakota,28.3%,40.3%,84.7%,10.2%,5.1%
Divide County,North Dakota,28.6%,48.5%,85.7%,10.1%,4.2%
Dunn County,North Dakota,27.9%,40.9%,83.1%,6.1%,10.9%
Eddy County,North Dakota,26.1%,40.3%,73.2%,22.1%,4.7%
Emmons County,North Dakota,22.6%,54.3%,85.6%,8.9%,5.5%
Foster County,North Dakota,23.1%,42.3%,82.0%,15.2%,2.8%
Golden Valley County,North Dakota,20.3%,45.1%,84.6%,11.8%,3.6%
Grand Forks County,North Dakota,26.1%,28.7%,52.4%,43.6%,4.0%
Grant County,North Dakota,23.5%,51.1%,86.0%,5.0%,9.1%
Griggs County,North Dakota,20.3%,56.6%,87.8%,9.6%,2.6%
Hettinger County,North Dakota,21.3%,51.7%,90.5%,4.9%,4.6%
Kidder County,North Dakota,25.6%,52.8%,75.9%,5.8%,18.3%
LaMoure County,North Dakota,23.8%,51.5%,85.0%,11.6%,3.4%
Logan County,North Dakota,19.0%,52.0%,89.7%,3.3%,7.0%
McHenry County,North Dakota,29.0%,45.4%,81.5%,7.8%,10.7%
McIntosh County,North Dakota,15.6%,50.4%,87.1%,10.9%,2.0%
McKenzie County,North Dakota,30.1%,28.4%,62.7%,26.6%,10.7%
McLean County,North Dakota,27.0%,46.0%,85.9%,8.9%,5.2%
Mercer County,North Dakota,25.8%,40.4%,82.9%,8.7%,8.5%
Morton County,North Dakota,29.2%,32.8%,70.8%,19.1%,10.1%
Mountrail County,North Dakota,31.0%,31.0%,72.8%,11.6%,15.5%
Nelson County,North Dakota,21.4%,52.8%,81.6%,14.2%,4.2%
Oliver County,North Dakota,31.4%,53.4%,81.8%,4.8%,13.3%
Pembina County,North Dakota,23.6%,47.3%,81.5%,12.1%,6.5%
Pierce County,North Dakota,25.4%,44.8%,80.0%,11.6%,8.4%
Ramsey County,North Dakota,23.9%,45.5%,64.2%,28.0%,7.9%
Ransom County,North Dakota,24.6%,42.2%,77.9%,16.6%,5.5%
Renville County,North Dakota,27.7%,40.8%,79.7%,6.2%,14.1%
Richland County,North Dakota,27.3%,41.1%,72.3%,23.4%,4.3%
Rolette County,North Dakota,41.3%,39.4%,72.0%,9.6%,18.4%
Sargent County,North Dakota,21.2%,42.2%,73.9%,15.9%,10.2%
Sheridan County,North Dakota,16.7%,57.0%,81.1%,8.8%,10.1%
Sioux County,North Dakota,48.4%,32.2%,82.5%,8.7%,8.9%
Slope County,North Dakota,25.6%,51.5%,85.1%,0.3%,14.6%
Stark County,North Dakota,30.2%,30.3%,67.6%,27.1%,5.4%
Steele County,North Dakota,23.0%,44.7%,92.3%,4.9%,2.9%
Stutsman County,North Dakota,20.0%,43.3%,64.3%,27.8%,7.9%
Towner County,North Dakota,21.1%,48.6%,82.4%,15.2%,2.4%
Traill County,North Dakota,26.6%,42.5%,79.6%,17.3%,3.2%
Walsh County,North Dakota,24.6%,40.9%,80.9%,12.9%,6.2%
Ward County,North Dakota,29.6%,29.7%,63.7%,29.1%,7.2%
Wells County,North Dakota,21.3%,51.2%,82.5%,12.1%,5.5%
Williams County,North Dakota,32.5%,27.2%,58.7%,36.7%,4.6%
Adams County,Ohio,33.7%,46.9%,70.7%,7.8%,21.4%
Allen County,Ohio,30.5%,41.2%,80.0%,16.2%,3.8%
Ashland County,Ohio,26.7%,43.3%,81.8%,13.4%,4.8%
Ashtabula County,Ohio,27.6%,45.7%,79.1%,14.3%,6.5%
Athens County,Ohio,20.2%,37.6%,64.2%,22.4%,13.4%
Auglaize County,Ohio,33.6%,40.9%,83.8%,12.2%,4.0%
Belmont County,Ohio,25.4%,49.5%,82.3%,11.2%,6.5%
Brown County,Ohio,30.4%,43.6%,77.3%,7.8%,15.0%
Butler County,Ohio,33.6%,38.7%,79.4%,18.3%,2.3%
Carroll County,Ohio,25.2%,47.2%,83.5%,6.4%,10.2%
Champaign County,Ohio,30.8%,42.5%,83.2%,10.7%,6.1%
Clark County,Ohio,30.3%,44.0%,81.7%,14.8%,3.5%
Clermont County,Ohio,32.0%,41.1%,76.5%,18.5%,4.9%
Clinton County,Ohio,30.2%,42.9%,80.7%,12.6%,6.7%
Columbiana County,Ohio,27.6%,46.2%,78.8%,12.6%,8.6%
Coshocton County,Ohio,29.9%,45.0%,77.5%,8.7%,13.8%
Crawford County,Ohio,28.2%,43.4%,82.1%,14.5%,3.4%
Cuyahoga County,Ohio,25.3%,41.2%,66.9%,32.6%,0.5%
Darke County,Ohio,29.4%,44.3%,85.8%,10.0%,4.1%
Defiance County,Ohio,30.6%,40.5%,83.1%,12.8%,4.1%
Delaware County,Ohio,41.5%,35.7%,84.9%,13.2%,1.9%
Erie County,Ohio,25.0%,47.0%,80.3%,17.7%,2.0%
Fairfield County,Ohio,34.8%,39.9%,83.5%,14.3%,2.2%
Fayette County,Ohio,31.8%,40.7%,80.5%,15.7%,3.9%
Franklin County,Ohio,30.2%,30.9%,64.7%,34.4%,0.9%
Fulton County,Ohio,31.3%,42.5%,85.4%,8.8%,5.8%
Gallia County,Ohio,26.9%,46.1%,70.5%,8.0%,21.5%
Geauga County,Ohio,29.6%,46.3%,90.1%,6.8%,3.1%
Greene County,Ohio,28.7%,40.1%,79.1%,19.9%,1.0%
Guernsey County,Ohio,26.5%,43.5%,76.6%,11.7%,11.7%
Hamilton County,Ohio,28.3%,36.5%,65.6%,33.7%,0.8%
Hancock County,Ohio,27.1%,38.1%,71.6%,21.8%,6.6%
Hardin County,Ohio,29.5%,39.6%,78.1%,12.6%,9.4%
Harrison County,Ohio,26.1%,50.6%,79.3%,5.4%,15.3%
Henry County,Ohio,28.9%,42.6%,83.7%,9.6%,6.7%
Highland County,Ohio,31.3%,44.0%,79.1%,9.6%,11.3%
Hocking County,Ohio,32.4%,43.4%,73.0%,8.1%,18.9%
Holmes County,Ohio,42.7%,36.9%,86.8%,7.8%,5.3%
Huron County,Ohio,31.8%,42.7%,79.7%,14.8%,5.5%
Jackson County,Ohio,32.0%,39.9%,74.2%,7.7%,18.1%
Jefferson County,Ohio,24.1%,48.1%,80.6%,13.9%,5.5%
Knox County,Ohio,31.7%,42.6%,85.4%,11.1%,3.6%
Lake County,Ohio,25.8%,44.9%,80.0%,18.2%,1.8%
Lawrence County,Ohio,30.8%,45.2%,73.4%,10.2%,16.4%
Licking County,Ohio,32.9%,42.4%,79.1%,16.7%,4.2%
Logan County,Ohio,30.9%,41.2%,81.7%,12.0%,6.3%
Lorain County,Ohio,28.9%,43.7%,82.1%,16.1%,1.9%
Lucas County,Ohio,28.5%,38.1%,74.0%,24.1%,1.9%
Madison County,Ohio,31.5%,41.6%,81.1%,14.1%,4.8%
Mahoning County,Ohio,26.0%,46.7%,81.6%,16.9%,1.5%
Marion County,Ohio,26.7%,44.2%,80.9%,15.1%,4.0%
Medina County,Ohio,30.6%,41.4%,84.7%,14.3%,1.0%
Meigs County,Ohio,26.8%,47.3%,67.1%,5.5%,27.4%
Mercer County,Ohio,30.1%,41.0%,86.2%,9.5%,4.3%
Miami County,Ohio,29.1%,43.7%,83.0%,15.5%,1.5%
Monroe County,Ohio,22.7%,49.5%,80.6%,3.5%,15.9%
Montgomery County,Ohio,27.9%,40.8%,75.9%,22.9%,1.1%
Morgan County,Ohio,28.0%,46.8%,74.5%,5.9%,19.6%
Morrow County,Ohio,34.0%,43.9%,84.7%,6.0%,9.2%
Muskingum County,Ohio,28.6%,42.7%,76.6%,15.4%,8.0%
Noble County,Ohio,15.8%,66.6%,76.9%,5.7%,17.5%
Ottawa County,Ohio,22.6%,50.5%,82.1%,10.7%,7.2%
Paulding County,Ohio,30.1%,42.7%,87.4%,5.8%,6.8%
Perry County,Ohio,32.8%,44.6%,75.0%,10.0%,15.0%
Pickaway County,Ohio,33.9%,40.3%,83.8%,9.5%,6.7%
Pike County,Ohio,34.1%,44.4%,68.6%,7.8%,23.5%
Portage County,Ohio,27.0%,41.3%,74.1%,19.0%,6.9%
Preble County,Ohio,31.1%,43.3%,90.4%,6.9%,2.7%
Putnam County,Ohio,32.3%,40.0%,87.8%,7.4%,4.8%
Richland County,Ohio,26.0%,43.7%,79.0%,17.3%,3.7%
Ross County,Ohio,31.0%,42.0%,75.6%,10.9%,13.5%
Sandusky County,Ohio,30.5%,42.0%,79.8%,15.3%,5.0%
Scioto County,Ohio,30.5%,43.7%,74.5%,12.2%,13.3%
Seneca County,Ohio,30.4%,41.7%,82.4%,13.7%,3.9%
Shelby County,Ohio,31.5%,40.1%,81.3%,14.9%,3.8%
Stark County,Ohio,27.5%,43.8%,79.8%,18.4%,1.8%
Summit County,Ohio,27.4%,41.4%,77.7%,21.6%,0.8%
Trumbull County,Ohio,25.2%,47.6%,80.3%,15.2%,4.5%
Tuscarawas County,Ohio,28.4%,45.0%,78.9%,12.3%,8.8%
Union County,Ohio,37.8%,32.4%,85.9%,10.7%,3.4%
Van Wert County,Ohio,31.9%,43.5%,88.1%,7.5%,4.4%
Vinton County,Ohio,31.0%,47.3%,66.9%,3.4%,29.7%
Warren County,Ohio,36.1%,37.8%,83.9%,15.3%,0.8%
Washington County,Ohio,27.2%,47.7%,77.9%,11.9%,10.2%
Wayne County,Ohio,29.5%,43.1%,78.1%,14.5%,7.3%
Williams County,Ohio,29.4%,43.7%,83.6%,11.1%,5.4%
Wood County,Ohio,27.6%,36.7%,68.8%,24.8%,6.4%
Wyandot County,Ohio,28.7%,40.7%,81.0%,14.0%,5.0%
Adair County,Oklahoma,34.6%,45.1%,72.8%,8.3%,18.9%
Alfalfa County,Oklahoma,30.9%,46.6%,91.1%,3.2%,5.7%
Atoka County,Oklahoma,30.7%,47.5%,73.4%,6.8%,19.8%
Beaver County,Oklahoma,30.0%,43.9%,83.3%,0.5%,16.2%
Beckham County,Oklahoma,32.0%,39.3%,76.9%,10.0%,13.1%
Blaine County,Oklahoma,32.2%,43.4%,79.0%,5.8%,15.3%
Bryan County,Oklahoma,32.1%,43.0%,72.6%,12.1%,15.3%
Caddo County,Oklahoma,35.2%,43.7%,83.8%,4.8%,11.4%
Canadian County,Oklahoma,37.7%,37.6%,86.3%,8.6%,5.1%
Carter County,Oklahoma,32.7%,41.1%,77.8%,9.2%,13.0%
Cherokee County,Oklahoma,28.5%,43.2%,67.5%,15.3%,17.2%
Choctaw County,Oklahoma,29.7%,46.6%,78.7%,8.2%,13.0%
Cimarron County,Oklahoma,31.0%,51.1%,82.2%,4.0%,13.8%
Cleveland County,Oklahoma,33.2%,34.1%,75.2%,19.6%,5.2%
Coal County,Oklahoma,29.6%,51.6%,83.7%,5.3%,11.0%
Comanche County,Oklahoma,35.3%,32.9%,75.7%,19.9%,4.3%
Cotton County,Oklahoma,28.7%,48.6%,80.7%,6.5%,12.8%
Craig County,Oklahoma,29.6%,46.9%,80.6%,7.6%,11.8%
Creek County,Oklahoma,33.4%,43.4%,73.6%,7.2%,19.2%
Custer County,Oklahoma,34.4%,35.7%,78.3%,12.9%,8.8%
Delaware County,Oklahoma,24.8%,55.2%,70.2%,5.1%,24.6%
Dewey County,Oklahoma,31.3%,45.7%,77.5%,2.2%,20.3%
Ellis County,Oklahoma,25.9%,50.2%,90.1%,1.1%,8.8%
Garfield County,Oklahoma,29.7%,40.4%,83.7%,9.7%,6.6%
Garvin County,Oklahoma,30.3%,43.4%,83.7%,6.2%,10.1%
Grady County,Oklahoma,33.7%,42.1%,80.3%,7.1%,12.6%
Grant County,Oklahoma,24.4%,45.5%,90.1%,2.6%,7.4%
Greer County,Oklahoma,40.4%,43.0%,88.7%,7.4%,3.8%
Harmon County,Oklahoma,34.6%,39.2%,95.0%,0.8%,4.2%
Harper County,Oklahoma,35.2%,48.9%,91.2%,1.9%,7.0%
Haskell County,Oklahoma,31.5%,47.6%,78.2%,3.6%,18.2%
Hughes County,Oklahoma,29.2%,49.2%,83.5%,4.7%,11.9%
Jackson County,Oklahoma,32.8%,36.6%,83.2%,11.3%,5.4%
Jefferson County,Oklahoma,28.3%,51.9%,84.0%,8.0%,8.0%
Johnston County,Oklahoma,31.2%,49.9%,77.0%,4.8%,18.2%
Kay County,Oklahoma,29.7%,44.7%,83.7%,10.3%,6.0%
Kingfisher County,Oklahoma,35.6%,41.6%,82.5%,3.0%,14.5%
Kiowa County,Oklahoma,32.0%,50.0%,85.7%,9.0%,5.3%
Latimer County,Oklahoma,33.4%,48.0%,72.9%,4.3%,22.8%
Le Flore County,Oklahoma,32.4%,45.7%,78.0%,6.1%,15.9%
Lincoln County,Oklahoma,31.4%,45.4%,74.3%,3.7%,22.0%
Logan County,Oklahoma,35.0%,42.4%,80.1%,2.7%,17.2%
Love County,Oklahoma,31.5%,50.7%,70.6%,6.3%,23.0%
McClain County,Oklahoma,39.2%,39.7%,81.2%,6.6%,12.2%
McCurtain County,Oklahoma,36.6%,43.7%,78.1%,7.5%,14.4%
McIntosh County,Oklahoma,24.6%,55.4%,69.1%,5.2%,25.7%
Major County,Oklahoma,29.4%,44.2%,84.3%,3.5%,12.2%
Marshall County,Oklahoma,30.4%,50.8%,69.9%,3.1%,27.0%
Mayes County,Oklahoma,32.7%,44.7%,73.4%,7.4%,19.1%
Murray County,Oklahoma,29.8%,44.2%,82.4%,5.9%,11.7%
Muskogee County,Oklahoma,32.5%,43.4%,75.9%,14.0%,10.2%
Noble County,Oklahoma,32.9%,44.8%,82.7%,5.0%,12.3%
Nowata County,Oklahoma,33.4%,43.7%,74.9%,8.6%,16.5%
Okfuskee County,Oklahoma,34.4%,43.1%,77.2%,4.6%,18.2%
Oklahoma County,Oklahoma,31.3%,35.4%,75.7%,21.3%,3.0%
Okmulgee County,Oklahoma,31.3%,47.7%,76.3%,8.8%,14.9%
Osage County,Oklahoma,29.3%,45.7%,78.2%,7.2%,14.6%
Ottawa County,Oklahoma,32.5%,44.4%,80.2%,8.4%,11.4%
Pawnee County,Oklahoma,31.0%,45.6%,71.0%,3.6%,25.4%
Payne County,Oklahoma,23.7%,30.7%,66.3%,24.8%,8.9%
Pittsburg County,Oklahoma,31.3%,43.8%,80.2%,8.5%,11.2%
Pontotoc County,Oklahoma,31.7%,41.3%,79.8%,12.2%,8.0%
Pottawatomie County,Oklahoma,31.4%,43.0%,78.5%,9.6%,11.9%
Pushmataha County,Oklahoma,29.3%,52.3%,75.6%,8.7%,15.7%
Roger Mills County,Oklahoma,26.9%,48.7%,83.7%,0.1%,16.1%
Rogers County,Oklahoma,35.6%,40.0%,81.7%,7.4%,10.9%
Seminole County,Oklahoma,36.8%,44.1%,78.0%,7.2%,14.8%
Sequoyah County,Oklahoma,33.4%,44.2%,75.2%,6.4%,18.4%
Stephens County,Oklahoma,31.6%,46.4%,86.8%,6.8%,6.4%
Texas County,Oklahoma,35.9%,33.0%,68.4%,11.1%,20.5%
Tillman County,Oklahoma,31.1%,49.1%,90.2%,6.4%,3.4%
Tulsa County,Oklahoma,32.3%,36.5%,73.4%,24.2%,2.4%
Wagoner County,Oklahoma,34.2%,42.1%,80.2%,6.9%,12.9%
Washington County,Oklahoma,29.9%,46.0%,83.3%,11.6%,5.0%
Washita County,Oklahoma,32.6%,42.6%,87.0%,4.1%,8.9%
Woods County,Oklahoma,27.2%,38.7%,84.6%,7.5%,7.9%
Woodward County,Oklahoma,31.8%,41.3%,79.5%,7.0%,13.4%
Baker County,Oregon,24.7%,53.7%,76.5%,11.3%,12.2%
Benton County,Oregon,22.9%,37.7%,65.4%,28.3%,6.4%
Clackamas County,Oregon,31.4%,43.8%,73.3%,20.5%,6.2%
Clatsop County,Oregon,22.5%,50.4%,68.2%,24.9%,7.0%
Columbia County,Oregon,28.3%,46.5%,74.5%,12.2%,13.3%
Coos County,Oregon,24.4%,54.8%,70.1%,14.1%,15.8%
Crook County,Oregon,25.6%,50.2%,74.1%,10.8%,15.1%
Curry County,Oregon,16.2%,65.2%,70.6%,10.6%,18.9%
Deschutes County,Oregon,28.6%,44.5%,79.3%,13.6%,7.1%
Douglas County,Oregon,24.2%,55.4%,68.3%,10.8%,20.8%
Gilliam County,Oregon,18.0%,60.0%,77.7%,3.4%,18.9%
Grant County,Oregon,19.1%,57.8%,72.9%,5.4%,21.7%
Harney County,Oregon,24.8%,50.8%,69.3%,10.9%,19.8%
Hood River County,Oregon,33.1%,40.9%,74.6%,12.3%,13.2%
Jackson County,Oregon,27.6%,47.6%,69.0%,18.2%,12.7%
Jefferson County,Oregon,29.0%,50.2%,72.7%,10.0%,17.3%
Josephine County,Oregon,26.8%,54.2%,72.8%,10.2%,17.0%
Klamath County,Oregon,27.4%,47.9%,72.2%,13.4%,14.4%
Lake County,Oregon,23.5%,48.6%,79.7%,3.0%,17.3%
Lane County,Oregon,25.1%,43.1%,67.7%,23.8%,8.5%
Lincoln County,Oregon,19.8%,59.7%,66.4%,14.8%,18.8%
Linn County,Oregon,28.6%,44.9%,70.8%,15.3%,13.9%
Malheur County,Oregon,32.4%,43.7%,66.3%,17.0%,16.7%
Marion County,Oregon,33.3%,41.9%,66.8%,24.8%,8.3%
Morrow County,Oregon,38.3%,41.0%,59.1%,6.5%,34.4%
Multnomah County,Oregon,25.6%,32.2%,60.9%,37.3%,1.8%
Polk County,Oregon,31.1%,44.1%,71.8%,20.6%,7.6%
Sherman County,Oregon,26.1%,49.7%,64.9%,4.4%,30.7%
Tillamook County,Oregon,22.5%,54.9%,74.0%,11.0%,15.1%
Umatilla County,Oregon,36.1%,40.6%,67.4%,16.2%,16.4%
Union County,Oregon,29.7%,46.9%,71.0%,14.1%,14.8%
Wallowa County,Oregon,22.0%,53.2%,78.7%,8.9%,12.5%
Wasco County,Oregon,28.6%,47.4%,68.1%,14.5%,17.4%
Washington County,Oregon,33.4%,34.8%,67.8%,30.0%,2.2%
Wheeler County,Oregon,21.1%,65.0%,75.0%,2.5%,22.4%
Yamhill County,Oregon,32.1%,44.1%,75.3%,14.5%,10.2%
Adams County,Pennsylvania,27.2%,47.6%,83.7%,9.8%,6.5%
Allegheny County,Pennsylvania,23.3%,41.3%,73.4%,26.0%,0.6%
Armstrong County,Pennsylvania,25.6%,49.6%,81.7%,9.6%,8.7%
Beaver County,Pennsylvania,25.8%,46.7%,81.3%,15.1%,3.6%
Bedford County,Pennsylvania,24.4%,49.7%,79.3%,7.6%,13.2%
Berks County,Pennsylvania,31.3%,42.0%,80.4%,16.7%,2.9%
Blair County,Pennsylvania,27.1%,45.3%,76.0%,17.0%,7.1%
Bradford County,Pennsylvania,26.8%,46.8%,73.3%,13.5%,13.3%
Bucks County,Pennsylvania,31.7%,45.3%,80.7%,17.6%,1.7%
Butler County,Pennsylvania,27.1%,43.2%,78.0%,14.6%,7.4%
Cambria County,Pennsylvania,23.7%,49.6%,82.0%,13.6%,4.4%
Cameron County,Pennsylvania,24.9%,48.3%,72.0%,17.8%,10.2%
Carbon County,Pennsylvania,24.4%,50.0%,85.7%,10.1%,4.2%
Centre County,Pennsylvania,22.6%,35.9%,67.5%,28.1%,4.4%
Chester County,Pennsylvania,33.2%,40.8%,80.6%,17.0%,2.4%
Clarion County,Pennsylvania,27.4%,44.0%,76.4%,14.3%,9.3%
Clearfield County,Pennsylvania,25.3%,46.9%,76.7%,11.0%,12.3%
Clinton County,Pennsylvania,27.0%,44.5%,74.3%,17.9%,7.7%
Columbia County,Pennsylvania,24.7%,44.0%,73.6%,18.4%,7.9%
Crawford County,Pennsylvania,27.0%,46.7%,75.7%,13.6%,10.8%
Cumberland County,Pennsylvania,27.7%,40.9%,76.5%,18.8%,4.7%
Dauphin County,Pennsylvania,27.7%,39.9%,73.7%,24.1%,2.3%
Delaware County,Pennsylvania,31.6%,42.3%,76.5%,23.2%,0.3%
Elk County,Pennsylvania,22.4%,45.4%,83.2%,11.3%,5.5%
Erie County,Pennsylvania,28.3%,42.3%,72.7%,22.2%,5.1%
Fayette County,Pennsylvania,26.2%,47.1%,78.6%,10.9%,10.4%
Forest County,Pennsylvania,14.2%,66.7%,80.6%,6.1%,13.4%
Franklin County,Pennsylvania,28.9%,44.1%,79.4%,13.2%,7.5%
Fulton County,Pennsylvania,28.6%,46.6%,79.4%,5.7%,14.9%
Greene County,Pennsylvania,27.8%,45.1%,74.4%,9.4%,16.2%
Huntingdon County,Pennsylvania,28.5%,49.6%,78.0%,11.0%,11.0%
Indiana County,Pennsylvania,21.6%,44.6%,74.3%,15.4%,10.3%
Jefferson County,Pennsylvania,26.6%,46.9%,81.3%,12.0%,6.6%
Juniata County,Pennsylvania,28.7%,46.8%,80.1%,10.7%,9.2%
Lackawanna County,Pennsylvania,26.9%,45.2%,73.2%,24.7%,2.1%
Lancaster County,Pennsylvania,29.7%,42.4%,77.4%,19.2%,3.4%
Lawrence County,Pennsylvania,26.8%,48.4%,81.7%,11.4%,6.9%
Lebanon County,Pennsylvania,29.5%,45.0%,79.5%,15.0%,5.4%
Lehigh County,Pennsylvania,32.5%,41.0%,74.3%,23.7%,1.9%
Luzerne County,Pennsylvania,27.2%,45.4%,78.9%,18.4%,2.8%
Lycoming County,Pennsylvania,27.1%,42.7%,76.1%,18.6%,5.3%
McKean County,Pennsylvania,26.5%,43.3%,80.2%,12.0%,7.8%
Mercer County,Pennsylvania,26.1%,47.4%,78.1%,14.5%,7.5%
