County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available
Franklin County,Illinois,93.8%,85.0%,8.7%,0.1%,1.5%,0.2%,0.8%,3.7%,53.3%,44.8%,20.1%,14.0%,13.4%,13.0%,6.8%,13.7%,7.1%,6.3%,5.6%,23.2,1.6%,21.0%,41.5%,35.9%
Fulton County,Illinois,92.6%,81.5%,11.0%,0.1%,3.2%,0.0%,1.1%,3.0%,58.6%,40.9%,28.7%,11.7%,9.2%,6.5%,4.2%,9.0%,8.2%,11.7%,10.9%,26.6,1.3%,19.2%,41.6%,38.0%
Gallatin County,Illinois,93.4%,84.7%,8.7%,0.5%,0.6%,0.3%,1.5%,3.7%,42.8%,34.2%,20.6%,8.2%,15.0%,14.9%,3.7%,11.1%,8.3%,6.6%,11.5%,26.9,2.0%,10.6%,43.1%,44.2%
Greene County,Illinois,90.9%,75.3%,15.6%,0.0%,4.1%,0.2%,0.5%,4.2%,48.8%,47.5%,28.8%,5.8%,7.6%,7.5%,6.3%,11.2%,8.6%,10.2%,14.0%,28.5,1.9%,18.8%,39.1%,40.3%
Grundy County,Illinois,93.6%,84.5%,9.1%,0.6%,1.7%,0.3%,0.6%,3.3%,44.2%,55.1%,18.4%,10.8%,8.9%,10.4%,7.9%,15.4%,7.4%,8.7%,12.1%,28.7,1.7%,14.8%,42.7%,40.8%
Hamilton County,Illinois,92.3%,81.7%,10.6%,0.0%,0.9%,0.0%,0.4%,6.4%,53.3%,41.6%,24.8%,18.0%,8.1%,7.2%,4.5%,14.4%,5.2%,6.9%,10.9%,24.3,0.9%,14.8%,29.2%,55.2%
Hancock County,Illinois,90.0%,80.7%,9.4%,0.1%,2.5%,0.0%,0.5%,6.8%,50.8%,15.7%,25.5%,12.9%,14.5%,10.6%,5.9%,11.9%,6.5%,6.2%,5.9%,22.6,0.8%,16.4%,40.1%,42.7%
Hardin County,Illinois,93.1%,82.4%,10.7%,0.8%,1.0%,0.0%,1.6%,3.5%,57.3%,37.5%,29.1%,7.7%,11.3%,14.2%,2.8%,6.8%,3.1%,11.2%,13.8%,26.2,1.9%,19.9%,37.2%,41.0%
Henderson County,Illinois,89.3%,77.1%,12.2%,0.5%,3.2%,0.1%,1.0%,5.9%,38.4%,18.4%,19.4%,8.4%,13.9%,14.1%,15.5%,9.2%,5.9%,6.7%,6.9%,24.9,0.6%,15.4%,43.7%,40.3%
Henry County,Illinois,93.4%,83.3%,10.1%,0.1%,1.9%,0.3%,0.8%,3.5%,56.1%,34.9%,26.8%,14.1%,11.5%,11.5%,8.4%,11.5%,6.5%,5.1%,4.6%,21.9,1.9%,14.5%,45.8%,37.8%
Iroquois County,Illinois,89.1%,79.4%,9.7%,0.2%,3.3%,0.4%,0.7%,6.2%,61.4%,34.8%,26.8%,12.8%,11.2%,12.4%,6.2%,9.4%,6.0%,6.9%,8.4%,24.6,1.1%,15.2%,45.6%,38.1%
Jackson County,Illinois,86.3%,78.2%,8.0%,0.5%,8.2%,1.8%,0.7%,2.5%,81.6%,16.2%,29.2%,22.0%,16.3%,11.8%,3.7%,7.5%,2.7%,3.6%,3.2%,17.1,3.9%,26.6%,42.7%,26.9%
Jasper County,Illinois,87.9%,76.3%,11.6%,0.0%,1.9%,0.2%,0.5%,9.5%,54.7%,44.2%,25.0%,11.5%,11.1%,8.2%,7.2%,14.0%,9.4%,9.0%,4.5%,23.8,1.6%,11.5%,35.0%,51.8%
Jefferson County,Illinois,90.3%,80.1%,10.2%,0.8%,2.0%,0.3%,2.4%,4.2%,83.9%,14.9%,19.6%,21.1%,20.9%,15.5%,4.5%,7.3%,2.8%,2.3%,6.1%,20.2,3.7%,20.9%,42.2%,33.2%
Jersey County,Illinois,92.5%,82.3%,10.2%,0.2%,3.1%,0.1%,0.3%,3.9%,42.1%,38.7%,16.2%,11.6%,8.9%,12.3%,5.4%,13.9%,7.0%,11.9%,12.7%,29.5,0.5%,10.2%,41.7%,47.6%
Jo Daviess County,Illinois,83.8%,73.3%,10.5%,1.2%,5.4%,0.2%,0.8%,8.6%,62.1%,12.8%,29.5%,17.4%,13.1%,10.1%,6.1%,8.5%,5.3%,4.1%,5.9%,20.3,2.0%,12.9%,48.5%,36.5%
Johnson County,Illinois,93.2%,85.9%,7.2%,1.1%,1.7%,0.1%,1.0%,2.9%,45.6%,47.3%,16.3%,11.4%,10.8%,14.7%,6.9%,17.1%,8.8%,7.5%,6.6%,25.6,1.4%,16.4%,47.3%,34.9%
Kane County,Illinois,89.6%,80.6%,9.0%,2.6%,1.5%,0.4%,1.4%,4.5%,53.1%,46.0%,11.0%,13.4%,13.4%,12.7%,5.8%,13.6%,7.9%,10.2%,11.9%,29.0,1.5%,15.8%,46.1%,36.6%
Kankakee County,Illinois,91.1%,80.4%,10.7%,2.0%,2.6%,0.3%,0.8%,3.3%,76.7%,21.9%,22.0%,18.3%,15.2%,12.0%,4.7%,8.6%,4.3%,5.0%,9.9%,23.3,2.6%,20.2%,44.1%,33.1%
Kendall County,Illinois,91.1%,84.0%,7.1%,3.2%,0.6%,0.2%,0.6%,4.3%,28.1%,71.2%,9.7%,9.8%,10.5%,10.2%,6.6%,11.8%,9.1%,13.7%,18.4%,34.1,1.1%,11.4%,52.2%,35.3%
Knox County,Illinois,91.2%,82.5%,8.8%,0.9%,3.8%,0.4%,1.0%,2.7%,78.7%,19.6%,26.3%,23.3%,16.0%,9.5%,3.8%,5.0%,2.7%,7.8%,5.7%,19.8,2.7%,22.6%,43.1%,31.6%
Lake County,Illinois,85.6%,76.6%,9.0%,4.1%,3.0%,0.3%,1.1%,5.9%,68.5%,28.8%,10.9%,11.9%,11.6%,12.0%,6.1%,13.4%,9.2%,11.4%,13.5%,30.4,1.4%,14.9%,49.4%,34.3%
LaSalle County,Illinois,92.6%,83.1%,9.5%,0.4%,2.4%,0.5%,0.5%,3.5%,71.0%,28.2%,26.8%,16.8%,12.3%,9.9%,4.9%,9.4%,6.0%,5.6%,8.4%,22.3,1.5%,17.3%,44.9%,36.3%
Lawrence County,Illinois,95.1%,84.9%,10.1%,0.0%,1.3%,0.8%,0.7%,2.3%,60.1%,17.1%,24.7%,14.8%,13.8%,13.4%,6.9%,6.6%,8.1%,5.6%,6.1%,22.3,2.0%,19.8%,40.3%,37.9%
Lee County,Illinois,91.1%,80.6%,10.5%,1.5%,1.6%,0.3%,0.6%,4.9%,62.8%,36.5%,27.9%,18.8%,12.5%,11.2%,5.7%,7.4%,3.4%,4.9%,8.1%,21.4,2.0%,17.5%,39.0%,41.6%
Livingston County,Illinois,91.3%,82.6%,8.7%,0.3%,3.3%,0.6%,0.7%,3.8%,71.3%,28.4%,35.4%,14.8%,10.3%,9.8%,4.1%,6.7%,5.8%,6.8%,6.3%,20.2,2.3%,19.5%,42.8%,35.4%
Logan County,Illinois,91.1%,81.3%,9.7%,0.1%,3.1%,0.1%,1.8%,3.8%,66.5%,32.9%,31.7%,15.8%,12.2%,7.7%,3.5%,8.7%,6.6%,9.3%,4.5%,20.8,1.7%,17.4%,45.2%,35.8%
McDonough County,Illinois,82.8%,73.9%,9.0%,1.5%,8.4%,1.4%,1.2%,4.7%,87.1%,10.4%,42.0%,21.4%,11.6%,7.6%,3.7%,5.7%,1.3%,2.4%,4.4%,15.1,3.0%,26.4%,43.4%,27.3%
McHenry County,Illinois,89.2%,81.3%,7.9%,2.7%,1.5%,0.3%,0.8%,5.5%,51.4%,46.5%,11.6%,11.4%,10.6%,11.1%,5.3%,9.9%,8.0%,13.1%,19.0%,33.7,0.9%,12.3%,47.8%,38.9%
McLean County,Illinois,88.5%,79.2%,9.3%,1.6%,5.2%,0.5%,1.0%,3.2%,90.5%,9.0%,23.1%,25.5%,21.7%,11.3%,3.8%,5.5%,2.5%,3.2%,3.4%,17.3,2.2%,20.8%,48.4%,28.6%
Macon County,Illinois,93.1%,86.2%,6.9%,1.2%,2.1%,0.1%,1.7%,1.8%,90.3%,8.9%,19.8%,24.9%,23.7%,14.3%,3.4%,5.1%,2.4%,3.3%,3.2%,17.6,3.0%,21.8%,43.0%,32.3%
Macoupin County,Illinois,92.7%,83.0%,9.7%,0.3%,2.8%,0.3%,0.5%,3.4%,47.6%,44.4%,22.8%,9.4%,8.9%,10.1%,5.3%,10.7%,7.4%,13.3%,11.9%,27.9,1.4%,14.9%,45.4%,38.3%
Madison County,Illinois,93.1%,85.7%,7.4%,1.5%,1.3%,0.2%,0.8%,3.2%,61.2%,12.1%,14.0%,16.0%,14.3%,13.6%,5.9%,13.1%,9.3%,9.5%,4.3%,24.3,1.9%,18.1%,45.4%,34.6%
Marion County,Illinois,91.6%,81.7%,9.9%,0.6%,1.9%,0.6%,1.8%,3.4%,68.9%,28.2%,25.0%,15.2%,14.9%,11.4%,6.6%,10.0%,4.8%,4.5%,7.6%,22.5,2.2%,18.8%,42.9%,36.1%
Marshall County,Illinois,91.4%,77.6%,13.8%,0.1%,4.3%,0.3%,1.6%,2.3%,45.3%,53.7%,25.9%,8.7%,8.1%,9.2%,6.5%,10.1%,11.4%,10.9%,9.3%,27.0,2.0%,15.5%,41.6%,40.9%
Mason County,Illinois,89.9%,80.4%,9.4%,0.0%,3.6%,0.6%,1.8%,4.2%,53.1%,45.3%,25.9%,12.4%,6.9%,9.1%,5.4%,9.0%,5.9%,13.4%,12.0%,27.0,2.0%,17.7%,45.4%,35.0%
Massac County,Illinois,94.6%,86.5%,8.0%,0.2%,1.5%,0.6%,1.3%,1.8%,53.1%,7.5%,23.1%,13.8%,17.1%,16.9%,9.1%,9.0%,4.4%,2.7%,3.9%,19.9,1.8%,19.4%,42.2%,36.6%
Menard County,Illinois,92.4%,78.8%,13.6%,0.0%,1.0%,0.0%,0.8%,5.7%,29.5%,70.0%,15.6%,7.2%,7.5%,8.9%,9.7%,24.5%,14.6%,6.7%,5.2%,27.5,0.4%,12.7%,44.8%,42.1%
Mercer County,Illinois,91.0%,81.0%,10.0%,0.1%,1.5%,0.2%,0.8%,6.3%,41.3%,38.5%,17.2%,8.3%,9.3%,8.6%,8.3%,15.4%,14.7%,11.0%,7.1%,27.4,1.8%,13.8%,42.2%,42.2%
Monroe County,Illinois,93.7%,81.7%,12.1%,0.7%,1.8%,0.1%,0.2%,3.5%,35.2%,20.7%,14.4%,7.1%,11.8%,9.2%,5.7%,17.1%,13.1%,13.2%,8.5%,28.8,0.6%,9.0%,45.5%,44.9%
Montgomery County,Illinois,89.6%,80.5%,9.1%,0.2%,2.1%,0.1%,1.5%,6.4%,68.5%,27.7%,28.1%,14.9%,12.4%,9.7%,4.4%,8.7%,3.7%,7.4%,10.6%,23.4,1.0%,17.6%,47.5%,33.8%
Morgan County,Illinois,90.6%,79.4%,11.2%,1.1%,3.8%,0.8%,0.5%,3.2%,77.0%,22.3%,31.6%,22.6%,12.1%,7.3%,2.9%,6.5%,4.9%,7.4%,4.7%,19.0,1.8%,19.6%,44.2%,34.4%
Moultrie County,Illinois,85.4%,78.7%,6.8%,0.3%,3.7%,1.9%,4.0%,4.7%,59.2%,40.5%,30.0%,13.6%,13.1%,10.2%,5.2%,10.8%,7.7%,5.8%,3.7%,20.5,10.5%,13.8%,42.7%,33.0%
Ogle County,Illinois,89.9%,80.9%,9.0%,0.4%,3.6%,0.1%,1.1%,4.9%,54.0%,44.9%,23.3%,13.1%,11.4%,11.6%,6.9%,12.1%,6.9%,6.9%,7.9%,24.4,2.2%,14.3%,39.5%,44.0%
Peoria County,Illinois,91.8%,83.2%,8.6%,1.6%,2.2%,0.2%,1.7%,2.4%,82.1%,17.3%,16.7%,19.7%,22.1%,18.0%,6.7%,8.7%,2.6%,2.6%,2.9%,19.0,3.6%,23.3%,44.5%,28.7%
Perry County,Illinois,93.7%,81.7%,12.1%,0.6%,2.1%,0.1%,0.6%,2.8%,56.4%,41.0%,25.8%,12.5%,9.9%,11.6%,4.3%,10.8%,5.9%,11.8%,7.4%,24.5,1.5%,19.5%,39.6%,39.3%
Piatt County,Illinois,93.1%,82.2%,10.9%,0.3%,2.9%,0.5%,0.6%,2.7%,42.2%,57.1%,24.2%,10.0%,11.4%,13.8%,9.2%,15.7%,7.8%,4.3%,3.7%,22.2,1.0%,14.0%,47.8%,37.2%
Pike County,Illinois,89.7%,77.5%,12.2%,0.5%,2.7%,0.2%,1.9%,5.1%,66.4%,18.4%,30.1%,12.9%,10.2%,11.2%,5.2%,9.4%,7.9%,6.7%,6.4%,21.5,0.9%,20.0%,38.4%,40.7%
Pope County,Illinois,93.2%,81.0%,12.2%,0.0%,0.6%,0.0%,0.4%,5.8%,29.5%,58.2%,12.6%,3.9%,11.5%,12.3%,8.2%,11.8%,12.3%,14.4%,13.1%,32.8,4.7%,10.5%,36.8%,47.9%
Pulaski County,Illinois,91.6%,83.9%,7.7%,1.3%,3.8%,0.0%,0.8%,2.5%,48.7%,34.7%,20.1%,11.4%,19.0%,10.1%,3.7%,8.6%,10.1%,9.8%,7.3%,26.0,3.4%,16.1%,47.0%,33.5%
Putnam County,Illinois,92.8%,77.0%,15.8%,0.0%,1.2%,0.1%,0.3%,5.5%,39.7%,59.0%,19.5%,12.4%,17.0%,15.0%,8.5%,11.7%,5.5%,4.0%,6.3%,22.3,1.1%,15.6%,45.3%,38.0%
Randolph County,Illinois,93.7%,82.8%,10.9%,0.3%,2.5%,0.4%,0.4%,2.7%,66.9%,22.4%,27.6%,14.0%,10.3%,11.7%,4.5%,8.0%,5.3%,7.9%,10.8%,23.9,0.8%,15.1%,43.5%,40.6%
Richland County,Illinois,93.0%,84.2%,8.7%,0.8%,1.5%,0.5%,1.1%,3.2%,76.7%,19.7%,37.2%,20.0%,12.1%,9.7%,3.5%,5.6%,4.5%,3.7%,3.8%,17.8,0.9%,18.2%,44.6%,36.3%
Rock Island County,Illinois,92.6%,83.7%,8.9%,1.5%,2.6%,0.3%,0.6%,2.4%,73.1%,3.2%,18.7%,18.7%,20.7%,19.7%,6.4%,8.5%,2.4%,2.2%,2.6%,18.5,3.0%,21.6%,45.2%,30.2%
St. Clair County,Illinois,90.0%,81.3%,8.7%,4.4%,1.4%,0.3%,0.9%,2.9%,64.1%,9.4%,14.9%,14.6%,17.1%,14.8%,6.3%,13.2%,6.5%,7.7%,5.0%,23.2,2.7%,21.5%,42.4%,33.4%
Saline County,Illinois,90.8%,80.6%,10.2%,0.4%,3.0%,0.3%,1.4%,4.1%,75.6%,21.4%,26.1%,17.1%,17.9%,7.3%,5.2%,7.7%,4.8%,7.8%,6.1%,22.0,1.8%,20.5%,47.0%,30.6%
Sangamon County,Illinois,92.9%,83.5%,9.5%,1.6%,1.6%,0.4%,0.7%,2.8%,93.4%,5.9%,15.6%,21.0%,23.7%,18.2%,5.4%,8.1%,2.3%,2.3%,3.4%,18.9,2.5%,23.9%,44.2%,29.5%
Schuyler County,Illinois,90.9%,78.3%,12.5%,0.0%,5.3%,0.0%,1.1%,2.7%,52.8%,46.4%,27.3%,17.3%,9.9%,14.3%,3.3%,11.1%,5.1%,4.2%,7.4%,22.6,3.5%,17.1%,46.1%,33.3%
Scott County,Illinois,89.8%,78.2%,11.6%,0.3%,3.0%,0.2%,0.0%,6.7%,39.5%,59.5%,19.3%,10.4%,7.5%,15.7%,10.5%,16.5%,5.4%,6.3%,8.3%,25.3,0.7%,15.6%,37.6%,46.2%
Shelby County,Illinois,88.9%,80.7%,8.3%,0.2%,2.4%,0.3%,1.2%,6.8%,48.5%,50.7%,23.0%,9.8%,12.4%,14.8%,9.2%,11.3%,6.7%,6.1%,6.7%,23.3,1.8%,14.9%,40.2%,43.2%
Stark County,Illinois,86.0%,72.5%,13.6%,0.1%,3.8%,0.6%,2.3%,7.2%,48.1%,50.9%,22.3%,13.0%,8.6%,10.4%,6.6%,12.1%,8.0%,11.0%,8.0%,25.3,0.8%,14.5%,39.1%,45.6%
Stephenson County,Illinois,90.2%,79.2%,11.0%,0.9%,3.4%,0.5%,0.8%,4.3%,75.6%,17.4%,28.5%,22.6%,13.0%,9.0%,4.2%,6.7%,4.0%,6.5%,5.4%,19.7,3.0%,15.6%,47.4%,34.0%
Tazewell County,Illinois,94.5%,86.2%,8.3%,0.3%,1.6%,0.2%,0.7%,2.7%,56.5%,43.2%,18.1%,15.6%,17.3%,18.3%,8.4%,10.6%,5.2%,3.8%,2.8%,20.7,1.6%,15.9%,45.3%,37.2%
Union County,Illinois,94.4%,82.2%,12.2%,0.0%,1.9%,0.1%,1.2%,2.4%,58.0%,35.9%,24.4%,14.0%,10.7%,10.2%,5.7%,16.4%,7.8%,5.7%,5.3%,22.8,2.5%,14.9%,46.7%,36.0%
Vermilion County,Illinois,92.2%,80.4%,11.9%,0.5%,3.2%,0.2%,0.9%,3.0%,83.5%,13.3%,22.7%,19.8%,17.4%,12.7%,3.9%,10.4%,4.3%,4.7%,4.0%,19.7,3.3%,21.1%,44.2%,31.3%
Wabash County,Illinois,93.2%,83.7%,9.5%,0.3%,1.1%,0.4%,1.5%,3.5%,59.1%,14.0%,32.0%,17.4%,9.2%,9.7%,6.1%,7.9%,5.9%,7.3%,4.4%,19.6,0.4%,18.3%,44.6%,36.8%
Warren County,Illinois,86.6%,77.9%,8.7%,0.2%,7.0%,0.5%,1.0%,4.8%,63.9%,31.7%,42.3%,11.3%,8.1%,11.3%,5.4%,7.7%,3.5%,4.1%,6.3%,19.3,1.3%,21.1%,42.1%,35.5%
Washington County,Illinois,90.5%,80.7%,9.8%,0.8%,2.5%,0.1%,0.8%,5.2%,55.5%,40.3%,24.5%,11.6%,11.6%,10.4%,4.8%,10.9%,9.6%,7.6%,9.1%,24.8,0.6%,13.5%,41.3%,44.7%
Wayne County,Illinois,91.5%,81.1%,10.3%,0.5%,3.9%,0.3%,0.5%,3.2%,66.8%,30.5%,32.0%,13.7%,11.7%,12.3%,3.9%,10.0%,5.4%,5.3%,5.9%,20.4,1.2%,17.0%,39.6%,42.2%
White County,Illinois,92.9%,80.6%,12.3%,0.6%,1.5%,0.0%,1.4%,3.7%,60.1%,20.3%,31.1%,10.4%,9.7%,9.9%,4.9%,10.6%,5.1%,8.0%,10.2%,26.0,2.6%,17.3%,45.9%,34.2%
Whiteside County,Illinois,92.9%,82.6%,10.3%,0.7%,2.3%,0.4%,0.7%,3.1%,69.8%,20.3%,27.5%,19.1%,15.4%,12.5%,5.3%,6.9%,3.8%,4.2%,5.3%,19.6,1.9%,19.2%,44.6%,34.3%
Will County,Illinois,89.6%,81.7%,7.9%,4.4%,1.0%,0.1%,1.0%,3.9%,46.4%,52.2%,10.0%,10.0%,11.1%,11.1%,5.5%,13.2%,8.9%,12.5%,17.7%,33.6,1.3%,13.1%,47.2%,38.5%
Williamson County,Illinois,95.0%,86.8%,8.2%,0.3%,1.9%,0.2%,0.5%,2.0%,67.6%,30.6%,17.3%,18.9%,21.0%,15.7%,5.3%,10.2%,3.5%,4.0%,4.1%,20.4,1.7%,20.1%,47.0%,31.3%
Winnebago County,Illinois,93.4%,84.4%,9.1%,0.9%,1.4%,0.3%,0.8%,3.2%,83.3%,12.3%,15.0%,17.8%,19.3%,18.1%,6.9%,9.5%,3.6%,3.5%,6.2%,21.9,2.3%,20.8%,43.9%,33.0%
Woodford County,Illinois,93.7%,84.5%,9.2%,0.0%,1.4%,0.2%,1.2%,3.5%,38.3%,61.3%,18.3%,10.5%,13.3%,16.4%,11.6%,13.7%,7.3%,5.3%,3.6%,22.8,1.1%,11.2%,44.1%,43.5%
Adams County,Indiana,92.9%,78.2%,14.7%,0.1%,1.9%,0.4%,1.0%,3.7%,66.7%,29.2%,29.6%,18.8%,10.3%,8.3%,4.0%,9.3%,6.5%,6.2%,7.0%,21.8,9.8%,12.0%,39.3%,38.9%
Allen County,Indiana,93.6%,85.7%,7.9%,0.6%,1.3%,0.2%,0.9%,3.4%,90.6%,8.0%,11.9%,16.8%,21.7%,23.2%,7.9%,9.7%,3.2%,2.9%,2.9%,20.4,2.7%,19.9%,46.1%,31.3%
Bartholomew County,Indiana,93.3%,83.9%,9.4%,0.4%,1.2%,0.1%,2.0%,3.0%,81.9%,17.0%,18.2%,22.9%,18.7%,15.1%,5.3%,7.5%,3.8%,3.2%,5.3%,19.8,1.5%,16.5%,42.4%,39.6%
Benton County,Indiana,90.5%,79.6%,10.9%,0.0%,3.0%,0.5%,1.0%,4.9%,45.9%,51.6%,21.5%,11.1%,13.1%,8.5%,7.2%,11.4%,9.9%,11.0%,6.4%,25.0,0.3%,17.4%,38.6%,43.7%
Blackford County,Indiana,95.2%,84.9%,10.4%,0.0%,1.2%,0.3%,0.4%,2.9%,49.7%,49.6%,28.6%,12.1%,7.0%,6.4%,7.8%,16.5%,8.6%,7.0%,6.2%,23.9,1.5%,18.1%,42.2%,38.2%
Boone County,Indiana,92.6%,86.2%,6.3%,0.1%,1.3%,0.0%,1.7%,4.3%,40.0%,58.7%,18.6%,11.0%,11.3%,11.6%,9.0%,16.3%,11.1%,7.6%,3.5%,23.6,0.8%,11.9%,50.8%,36.5%
Brown County,Indiana,91.8%,80.6%,11.3%,0.5%,1.7%,0.0%,1.0%,5.0%,37.2%,61.4%,10.1%,7.4%,7.9%,12.0%,6.1%,16.6%,9.9%,14.8%,15.3%,35.2,0.8%,16.1%,33.3%,49.8%
Carroll County,Indiana,92.0%,83.8%,8.1%,0.6%,2.0%,0.0%,1.0%,4.4%,39.3%,60.1%,16.3%,9.4%,9.7%,10.2%,7.7%,18.6%,14.5%,9.4%,4.1%,26.0,1.0%,14.3%,43.2%,41.5%
Cass County,Indiana,92.8%,83.0%,9.8%,0.6%,2.2%,0.1%,1.5%,2.8%,73.9%,25.2%,22.9%,21.7%,18.5%,13.3%,3.3%,7.1%,3.1%,4.5%,5.6%,19.9,1.3%,17.6%,48.0%,33.1%
Clark County,Indiana,95.3%,85.4%,9.9%,0.8%,1.3%,0.2%,0.5%,2.0%,47.8%,15.2%,12.0%,13.8%,17.9%,18.9%,8.3%,14.2%,6.6%,5.1%,3.3%,22.5,2.4%,20.4%,43.0%,34.1%
Clay County,Indiana,94.7%,86.5%,8.2%,0.1%,1.2%,0.2%,0.8%,3.0%,47.4%,52.0%,19.9%,13.7%,9.4%,10.4%,6.3%,13.9%,9.7%,8.5%,8.2%,25.7,1.0%,13.9%,43.8%,41.4%
Clinton County,Indiana,93.0%,81.8%,11.1%,0.0%,1.5%,0.2%,1.3%,4.1%,59.9%,39.0%,20.2%,17.3%,14.6%,11.3%,5.4%,13.3%,6.3%,6.5%,4.9%,21.9,2.2%,15.3%,37.9%,44.6%
Crawford County,Indiana,93.8%,85.5%,8.3%,1.1%,1.1%,0.0%,0.6%,3.4%,37.1%,52.1%,11.5%,7.4%,9.0%,8.9%,5.8%,15.6%,7.1%,17.4%,17.3%,34.2,2.2%,12.8%,31.9%,53.1%
Daviess County,Indiana,91.0%,72.6%,18.4%,0.1%,3.3%,0.1%,1.0%,4.5%,66.1%,32.9%,26.1%,18.1%,12.9%,9.7%,4.5%,8.6%,5.3%,6.9%,7.8%,22.6,10.9%,14.6%,34.4%,40.1%
Dearborn County,Indiana,93.1%,81.1%,12.1%,0.3%,2.2%,0.0%,0.8%,3.6%,41.2%,8.8%,12.8%,10.1%,11.5%,12.4%,7.7%,13.9%,12.3%,12.9%,6.4%,28.1,1.0%,12.1%,36.4%,50.5%
Decatur County,Indiana,93.6%,85.3%,8.3%,0.6%,1.3%,0.6%,0.3%,3.7%,70.1%,28.3%,30.0%,16.1%,12.6%,11.1%,2.7%,8.6%,5.2%,5.3%,8.5%,21.1,1.1%,15.2%,40.9%,42.9%
DeKalb County,Indiana,92.5%,82.7%,9.7%,0.1%,2.1%,0.4%,0.7%,4.1%,60.0%,37.4%,23.7%,15.7%,13.1%,13.0%,7.5%,12.7%,6.2%,4.3%,4.0%,20.7,1.5%,16.0%,44.1%,38.4%
Delaware County,Indiana,88.9%,78.5%,10.4%,1.9%,5.6%,0.7%,0.4%,2.6%,81.8%,17.1%,22.4%,20.4%,20.7%,12.9%,4.5%,6.8%,2.4%,4.3%,5.5%,19.2,2.8%,19.0%,42.2%,35.9%
Dubois County,Indiana,93.2%,86.1%,7.1%,0.0%,2.3%,0.0%,0.7%,3.8%,88.3%,11.1%,24.5%,23.1%,14.7%,14.6%,4.2%,8.9%,2.4%,2.7%,4.8%,18.7,0.8%,13.9%,40.3%,45.0%
Elkhart County,Indiana,92.0%,80.1%,11.9%,0.4%,2.0%,1.3%,1.4%,2.9%,86.7%,11.8%,19.3%,19.0%,19.4%,17.0%,6.3%,9.6%,4.5%,2.5%,2.4%,18.8,4.3%,18.6%,44.4%,32.6%
Fayette County,Indiana,94.4%,83.9%,10.5%,0.3%,1.9%,0.6%,1.6%,1.2%,65.8%,30.5%,22.7%,18.4%,13.8%,8.9%,5.8%,7.7%,4.1%,8.7%,9.9%,24.0,3.1%,17.3%,39.1%,40.6%
Floyd County,Indiana,95.0%,86.5%,8.5%,0.8%,1.1%,0.2%,0.5%,2.5%,41.1%,22.1%,10.6%,14.5%,18.6%,19.0%,9.3%,15.2%,5.9%,3.8%,3.0%,22.5,1.4%,17.3%,40.3%,41.0%
Fountain County,Indiana,90.3%,80.1%,10.2%,0.1%,3.8%,0.1%,1.0%,4.8%,46.5%,40.1%,20.8%,11.1%,10.6%,12.2%,6.2%,11.0%,11.9%,7.6%,8.7%,27.2,1.2%,14.6%,43.8%,40.4%
Franklin County,Indiana,91.9%,78.9%,13.0%,0.1%,2.2%,0.2%,0.7%,5.0%,36.7%,37.7%,19.6%,11.2%,8.3%,11.1%,5.8%,9.3%,10.0%,13.7%,11.0%,28.5,1.2%,10.8%,38.2%,49.7%
Fulton County,Indiana,90.8%,82.3%,8.5%,0.3%,2.7%,0.0%,2.0%,4.2%,55.8%,42.8%,25.1%,15.6%,10.7%,10.6%,5.9%,10.5%,7.9%,6.9%,6.7%,23.2,2.5%,17.7%,42.9%,37.0%
Gibson County,Indiana,94.5%,85.0%,9.5%,0.0%,2.0%,0.2%,0.5%,2.9%,66.3%,31.4%,21.4%,15.3%,14.4%,11.2%,5.0%,11.6%,9.6%,7.4%,4.2%,22.9,1.0%,16.4%,42.6%,40.0%
Grant County,Indiana,90.4%,82.0%,8.5%,0.1%,4.2%,0.4%,1.4%,3.5%,81.3%,17.7%,26.2%,19.6%,15.9%,14.0%,5.4%,6.7%,3.3%,4.0%,4.9%,19.3,2.9%,17.5%,43.4%,36.1%
Greene County,Indiana,95.1%,83.2%,11.9%,0.3%,2.1%,0.5%,0.4%,1.6%,44.8%,53.7%,19.4%,9.2%,11.4%,10.8%,5.1%,16.4%,6.6%,10.3%,10.7%,28.7,2.3%,14.5%,33.2%,50.0%
Hamilton County,Indiana,91.9%,84.4%,7.4%,0.3%,0.9%,0.2%,0.6%,6.1%,47.9%,51.1%,11.0%,13.2%,14.2%,14.7%,7.6%,14.9%,10.7%,9.3%,4.5%,25.4,0.7%,14.4%,54.1%,30.8%
Hancock County,Indiana,93.7%,86.6%,7.0%,0.4%,1.4%,0.0%,0.4%,4.1%,34.8%,64.4%,12.8%,9.1%,11.0%,13.0%,9.5%,17.0%,11.7%,10.2%,5.7%,27.5,0.9%,13.0%,46.0%,40.1%
